,name,style,ounces,brewery_name,city,state
159,Pearl-Snap,German Pilsener,12.0,Austin Beerworks,Austin, TX
160,Black Thunder,Schwarzbier,12.0,Austin Beerworks,Austin, TX
161,Raja,American Double / Imperial IPA,12.0,Avery Brewing Company,Boulder, CO
162,Perzik Saison,Saison / Farmhouse Ale,12.0,Avery Brewing Company,Boulder, CO
163,Avery Joe’s Premium American Pilsner,German Pilsener,12.0,Avery Brewing Company,Boulder, CO
164,White Rascal,Witbier,12.0,Avery Brewing Company,Boulder, CO
165,Avery India Pale Ale,American IPA,12.0,Avery Brewing Company,Boulder, CO
166,Ellie’s Brown Ale,American Brown Ale,12.0,Avery Brewing Company,Boulder, CO
167,Pumpkin Beast,Pumpkin Ale,12.0,Aviator Brewing Company,Fuquay-Varina, NC
168,OktoberBeast,Märzen / Oktoberfest,12.0,Aviator Brewing Company,Fuquay-Varina, NC
169,Mad Beach,American Pale Wheat Ale,12.0,Aviator Brewing Company,Fuquay-Varina, NC
170,Hog Wild India Pale Ale,American IPA,12.0,Aviator Brewing Company,Fuquay-Varina, NC
171,Devils Tramping Ground Tripel,Tripel,12.0,Aviator Brewing Company,Fuquay-Varina, NC
172,Hot Rod Red,American Amber / Red Ale,12.0,Aviator Brewing Company,Fuquay-Varina, NC
173,Palate Mallet,American Double / Imperial IPA,12.0,Back East Brewing Company,Bloomfield, CT
174,Back East Porter,American Porter,12.0,Back East Brewing Company,Bloomfield, CT
175,Back East Golden Ale,American Blonde Ale,12.0,Back East Brewing Company,Bloomfield, CT
176,Misty Mountain IPA,American IPA,12.0,Back East Brewing Company,Bloomfield, CT
177,Back East Ale,American Amber / Red Ale,12.0,Back East Brewing Company,Bloomfield, CT
178,Truck Stop Honey Brown Ale,English Brown Ale,12.0,Back Forty Beer Company,Gadsden, AL
179,Naked Pig Pale Ale,American Pale Ale (APA),12.0,Back Forty Beer Company,Gadsden, AL
180,Topcutter India Pale Ale,American IPA,12.0,Bale Breaker Brewing Company,Yakima, WA
181,Field 41 Pale Ale,American Pale Ale (APA),12.0,Bale Breaker Brewing Company,Yakima, WA
182,Grapefruit Sculpin,American IPA,12.0,Ballast Point Brewing Company,San Diego, CA
183,Even Keel,American IPA,12.0,Ballast Point Brewing Company,San Diego, CA
184,Ballast Point Pale Ale,Kölsch,12.0,Ballast Point Brewing Company,San Diego, CA
185,Big Eye India Pale Ale,American IPA,12.0,Ballast Point Brewing Company,San Diego, CA
186,Longfin Lager,Munich Helles Lager,12.0,Ballast Point Brewing Company,San Diego, CA
