,name,style,ounces,brewery_name,city,state
1188,Rumspringa Golden Bock,Maibock / Helles Bock,12.0,Lancaster Brewing Company,Lancaster, PA
1189,Lancaster German Style Kölsch,Kölsch,12.0,Lancaster Brewing Company,Lancaster, PA
1190,Beach Cruiser,Hefeweizen,12.0,Latitude 42 Brewing Company,Portage, MI
1191,I.P. Eh!,American IPA,12.0,Latitude 42 Brewing Company,Portage, MI
1192,Schoolhouse Honey,American Amber / Red Ale,12.0,Latitude 42 Brewing Company,Portage, MI
1193,10 Degrees of Separation,English Brown Ale,12.0,Latitude 42 Brewing Company,Portage, MI
1194,Laughing Dog Cream Ale,Cream Ale,12.0,Laughing Dog Brewing Company,Ponderay, ID
1195,Two-One Niner,American Pilsner,12.0,Laughing Dog Brewing Company,Ponderay, ID
1196,Laughing Dog IPA,American IPA,12.0,Laughing Dog Brewing Company,Ponderay, ID
1197,Madra Allta,American IPA,12.0,Lavery Brewing Company,Erie, PA
1198,Duluchan India Pale Ale,American IPA,12.0,Lavery Brewing Company,Erie, PA
1199,Lazy Monk Bohemian Pilsner,Czech Pilsener,16.0,Lazy Monk Brewing,Eau Claire, WI
1200,Yellowstone Golden Ale,Kölsch,12.0,Lewis and Clark Brewing Company,Helena, MT
1201,Tumbleweed IPA,American IPA,12.0,Lewis and Clark Brewing Company,Helena, MT
1202,Lewis & Clark Amber Ale,American Amber / Red Ale,12.0,Lewis and Clark Brewing Company,Helena, MT
1203,Miner's Gold Hefeweizen,Hefeweizen,12.0,Lewis and Clark Brewing Company,Helena, MT
1204,Back Country Scottish Ale,Scottish Ale,12.0,Lewis and Clark Brewing Company,Helena, MT
1205,Getaway,German Pilsener,16.0,Lift Bridge Brewing Company,Stillwater, MN
1206,Farm Girl Saison,Saison / Farmhouse Ale,16.0,Lift Bridge Brewing Company,Stillwater, MN
1207,Adam's Stout,American Stout,12.0,Liquid Hero Brewery,York, PA
1208,American Hero,American Amber / Red Ale,12.0,Liquid Hero Brewery,York, PA
1209,Schweet Ale,Fruit / Vegetable Beer,12.0,Liquid Hero Brewery,York, PA
1210,Irregardless IPA,American IPA,12.0,Liquid Hero Brewery,York, PA
1211,Peach Pale Ale,American Pale Ale (APA),12.0,Lone Tree Brewing Company,Lone Tree, CO
1212,Deadeye Jack,American Porter,12.0,Lonerider Brewing Company,Raleigh, NC
1213,Pistols at Dawn,American Stout,16.0,Lonerider Brewing Company,Raleigh, NC
1214,Peacemaker Pale Ale,American Pale Ale (APA),12.0,Lonerider Brewing Company,Raleigh, NC
1215,Shotgun Betty,Hefeweizen,12.0,Lonerider Brewing Company,Raleigh, NC
1216,Sweet Josie,American Brown Ale,12.0,Lonerider Brewing Company,Raleigh, NC
1217,Long Trail IPA,English India Pale Ale (IPA),12.0,Long Trail Brewing Company,Bridgewater Corners, VT
1218,Long Trail Ale,American Amber / Red Ale,12.0,Long Trail Brewing Company,Bridgewater Corners, VT
1219,Double Bag,Altbier,16.0,Long Trail Brewing Company,Bridgewater Corners, VT
1220,Blackbeary Wheat,Fruit / Vegetable Beer,12.0,Long Trail Brewing Company,Bridgewater Corners, VT
1221,Long Trail Ale (1),Altbier,12.0,Long Trail Brewing Company,Bridgewater Corners, VT
1222,Gose,Gose,16.0,Lost Nation Brewing,East Fairfield, VT
1223,Vermont Pilsner,German Pilsener,16.0,Lost Nation Brewing,East Fairfield, VT
1224,Mosaic Single Hop IPA,American IPA,16.0,Lost Nation Brewing,East Fairfield, VT
1225,Lost Galaxy,American IPA,16.0,Lost Nation Brewing,East Fairfield, VT
1226,Face Plant IPA,American IPA,12.0,Lost Rhino Brewing Company,Ashburn, VA
1227,Rhino Chasers Pilsner,Czech Pilsener,12.0,Lost Rhino Brewing Company,Ashburn, VA
1228,Slow Hand Stout,American Stout,16.0,Lucette Brewing Company,Menominee, WI
1229,Hips Don't Lie,Hefeweizen,16.0,Lucette Brewing Company,Menominie, WI
1230,Ride Again Pale Ale,American Pale Ale (APA),16.0,Lucette Brewing Company,Menominie, WI
1231,The Farmer's Daughter,American Blonde Ale,16.0,Lucette Brewing Company,Menominie, WI
1232,Pub Ale,English Dark Mild Ale,12.0,Lucky Town Brewing Company,Jackson, MS
1233,Ballistic Blonde,Belgian Pale Ale,12.0,Lucky Town Brewing Company,Jackson, MS
1234,Knotty Pine,American Pale Ale (APA),12.0,Lumberyard Brewing Company,Flagstaff, AZ
1235,Lumberyard Pilsner,American Pilsner,12.0,Lumberyard Brewing Company,Flagstaff, AZ
1236,Lumberyard IPA,American IPA,12.0,Lumberyard Brewing Company,Flagstaff, AZ
1237,Lumberyard Red Ale,American Amber / Red Ale,12.0,Lumberyard Brewing Company,Flagstaff, AZ
1238,Mac's Highlander Pale Ale (2000),American Pale Ale (APA),12.0,MacTarnahans Brewing Company,Portland, OR
1239,Mac's Scottish Style Amber Ale (2000),American Amber / Red Ale,12.0,MacTarnahans Brewing Company,Portland, OR
1240,Macon Progress Ale,American Pale Ale (APA),12.0,Macon Beer Company,Macon, GA
1241,Macon History Ale,American Brown Ale,12.0,Macon Beer Company,Macon, GA
1242,Galaxy High,American Double / Imperial IPA,12.0,Madtree Brewing Company,Cincinnati, OH
1243,Sol Drifter,American Blonde Ale,12.0,Madtree Brewing Company,Cincinnati, OH
1244,Thunder Snow,Winter Warmer,12.0,Madtree Brewing Company,Cincinnati, OH
1245,The Great Pumpcan,Fruit / Vegetable Beer,16.0,Madtree Brewing Company,Cincinnati, OH
1246,LIFT,Kölsch,12.0,Madtree Brewing Company,Cincinnati, OH
1247,SPRYE,American Pale Ale (APA),12.0,Madtree Brewing Company,Cincinnati, OH
1248,Psychopathy,American IPA,12.0,Madtree Brewing Company,Cincinnati, OH
1249,Gnarly Brown,American Brown Ale,12.0,Madtree Brewing Company,Cincinnati, OH
1250,Happy Amber,American Amber / Red Ale,12.0,Madtree Brewing Company,Cincinnati, OH
1251,#9,Fruit / Vegetable Beer,16.0,Magic Hat Brewing Company,South Burlington, VT
1252,Elder Betty,Hefeweizen,12.0,Magic Hat Brewing Company,South Burlington, VT
1253,#9,Fruit / Vegetable Beer,12.0,Magic Hat Brewing Company,South Burlington, VT
1254,High Country Pilsner (Current),German Pilsener,12.0,Mammoth Brewing Company,Mammoth Lakes, CA
1255,Epic IPA,American IPA,12.0,Mammoth Brewing Company,Mammoth Lakes, CA
1256,Golden Trout Pilsner,German Pilsener,12.0,Mammoth Brewing Company,Mammoth Lakes, CA
1257,Real McCoy Amber Ale (Current),American Amber / Red Ale,12.0,Mammoth Brewing Company,Mammoth Lakes, CA
1258,Festivus (1),Winter Warmer,12.0,Manayunk Brewing Company,Philadelphia, PA
1259,Manayunk Oktoberfest,Märzen / Oktoberfest,12.0,Manayunk Brewing Company,Philadelphia, PA
1260,Belgian Style Session Ale,Belgian Pale Ale,12.0,Manayunk Brewing Company,Philadelphia, PA
1261,Manayunk IPA,American IPA,12.0,Manayunk Brewing Company,Philadelphia, PA
1262,Yunkin' Punkin',Pumpkin Ale,12.0,Manayunk Brewing Company,Philadelphia, PA
1263,Summer Paradise,American Pale Wheat Ale,12.0,Manayunk Brewing Company,Philadelphia, PA
1264,Monk from the 'Yunk,Tripel,12.0,Manayunk Brewing Company,Philadelphia, PA
1265,Schuylkill Punch,Fruit / Vegetable Beer,12.0,Manayunk Brewing Company,Philadelphia, PA
1266,Dreamin' Double IPA,American Double / Imperial IPA,12.0,Manayunk Brewing Company,Philadelphia, PA
1267,Chaotic Double IPA,American Double / Imperial IPA,12.0,Manzanita Brewing Company,Santee, CA
1268,Manzanita IPA,American IPA,12.0,Manzanita Brewing Company,Santee, CA
1269,Riverwalk Blonde Ale,American Blonde Ale,12.0,Manzanita Brewing Company,Santee, CA
1270,Gillespie Brown Ale,American Brown Ale,12.0,Manzanita Brewing Company,Santee, CA
1271,Manzanita Pale Ale,American Pale Ale (APA),12.0,Manzanita Brewing Company,Santee, CA
1272,Marble Pilsner,German Pilsener,12.0,Marble Brewery,Albuquerque, NM
1273,Marble India Pale Ale,American IPA,12.0,Marble Brewery,Albuquerque, NM
1274,Toughcats IPA,American IPA,16.0,Marshall Wharf Brewing Company,Belfast, ME
1275,Tug Pale Ale,American Pale Ale (APA),16.0,Marshall Wharf Brewing Company,Belfast, ME
1276,Sexy Chaos,Russian Imperial Stout,16.0,Marshall Wharf Brewing Company,Belfast, ME
1277,Ace Hole American Pale Ale,American Pale Ale (APA),16.0,Marshall Wharf Brewing Company,Belfast, ME
1278,Cant Dog Imperial Pale Ale,American Double / Imperial IPA,16.0,Marshall Wharf Brewing Company,Belfast, ME
1279,River House,Saison / Farmhouse Ale,16.0,Martin House Brewing Company,Fort Worth, TX
1280,Pretzel Stout,American Stout,16.0,Martin House Brewing Company,Fort Worth, TX
1281,Rubberneck Red,American Amber / Red Ale,16.0,Martin House Brewing Company,Fort Worth, TX
1282,The Imperial Texan,American Double / Imperial IPA,16.0,Martin House Brewing Company,Fort Worth, TX
1283,The Imperial Texan,American Double / Imperial IPA,12.0,Martin House Brewing Company,Fort Worth, TX
1284,Day Break 4-Grain Breakfast Beer,Rye Beer,16.0,Martin House Brewing Company,Fort Worth, TX
1285,River House Saison,Saison / Farmhouse Ale,12.0,Martin House Brewing Company,Fort Worth, TX
1286,There Will Be Stout,American Stout,12.0,Martin House Brewing Company,Fort Worth, TX
1287,Our Legacy IPA,American IPA,12.0,Matt Brewing Company,Utica, NY
1288,Saranac Shandy,Shandy,12.0,Matt Brewing Company,Utica, NY
1289,Our Legacy IPA,American IPA,16.0,Matt Brewing Company,Utica, NY
1290,Saranac Golden Pilsener (2003),German Pilsener,12.0,Matt Brewing Company,Utica, NY
1291,Saranac Adirondack Light (2002),Light Lager,12.0,Matt Brewing Company,Utica, NY
1292,DAX Light (1998),Light Lager,12.0,Matt Brewing Company,Utica, NY
1293,Saranac Traditional Lager (2000),American Pale Lager,12.0,Matt Brewing Company,Utica, NY
1294,Pomegranate Wheat (2008),Fruit / Vegetable Beer,12.0,Matt Brewing Company,Utica, NY
1295,Blueberry Blonde Ale,American Blonde Ale,12.0,Matt Brewing Company,Utica, NY
1296,Saranac White IPA,American IPA,12.0,Matt Brewing Company,Utica, NY
1297,Saranac Summer Ale (2011),American Pale Wheat Ale,12.0,Matt Brewing Company,Utica, NY
1298,Saranac Pale Ale (12 oz.),English Pale Ale,12.0,Matt Brewing Company,Utica, NY
1299,Saranac Pale Ale (16 oz.),English Pale Ale,16.0,Matt Brewing Company,Utica, NY
1300,Lahaina Town Brown,American Brown Ale,12.0,Maui Brewing Company,Lahaina, HI
1301,Pau Hana Pilsner,Czech Pilsener,12.0,Maui Brewing Company,Lahaina, HI
1302,Lemongrass Saison,Saison / Farmhouse Ale,12.0,Maui Brewing Company,Lahaina, HI
1303,Aloha B’ak’tun,Belgian Strong Dark Ale,12.0,Maui Brewing Company,Lahaina, HI
1304,Liquid Breadfruit,Fruit / Vegetable Beer,12.0,Maui Brewing Company,Lahaina, HI
1305,Sobrehumano Palena'ole,American Amber / Red Ale,12.0,Maui Brewing Company,Lahaina, HI
1306,La Perouse White,Witbier,12.0,Maui Brewing Company,Lahaina, HI
1307,Flyin' HI.P.Hay,American IPA,12.0,Maui Brewing Company,Lahaina, HI
1308,Mana Wheat,American Pale Wheat Ale,12.0,Maui Brewing Company,Lahaina, HI
1309,Bikini Blonde Lager,Munich Helles Lager,12.0,Maui Brewing Company,Lahaina, HI
1310,CoCoNut Porter,American Porter,12.0,Maui Brewing Company,Lahaina, HI
1311,Big Swell IPA,American IPA,12.0,Maui Brewing Company,Lahaina, HI
1312,Pit Stop Chocolate Porter,American Porter,12.0,Mavericks Beer Company,Half Moon Bay, CA
1313,Pace Setter Belgian Style Wit,Witbier,12.0,Mavericks Beer Company,Half Moon Bay, CA
1314,Back in the Saddle Rye Pale Ale,American Pale Ale (APA),12.0,Mavericks Beer Company,Half Moon Bay, CA
1315,Bushwhacker Cider,Cider,16.0,Meckley's Cidery,Somerset Center, MI
1316,Weim-R-Iner,Cider,16.0,Meckley's Cidery,Somerset Center, MI
1317,Cherry Bomb,Cider,16.0,Meckley's Cidery,Somerset Center, MI
1318,Tsunami IPA,American IPA,19.2,Mehana Brewing Co.,Hilo, HI
1319,Tsunami IPA,American IPA,12.0,Mehana Brewing Co.,Hilo, HI
1320,Humpback Blonde Ale,American Blonde Ale,12.0,Mehana Brewing Co.,Hilo, HI
1321,Hawaiian Crow Porter,American Porter,12.0,Mehana Brewing Co.,Hilo, HI
1322,Volcano Red Ale,American Amber / Red Ale,12.0,Mehana Brewing Co.,Hilo, HI
1323,Mauna Kea Pale Ale,American Pale Ale (APA),12.0,Mehana Brewing Co.,Hilo, HI
1324,Shark Bait,Fruit / Vegetable Beer,12.0,Miami Brewing Company,Miami, FL
1325,Gator Tail Brown Ale,American Brown Ale,12.0,Miami Brewing Company,Miami, FL
1326,Miami Vice IPA,American IPA,12.0,Miami Brewing Company,Miami, FL
1327,Big Rod Coconut Ale,American Blonde Ale,12.0,Miami Brewing Company,Miami, FL
1328,Mickey Finn's Amber Ale,American Amber / Red Ale,12.0,Mickey Finn's Brewery,Libertyville, IL
1329,Pleasure Town,American IPA,12.0,Midnight Sun Brewing Company,Anchorage, AK
1330,Pleasure Town IPA,American IPA,12.0,Midnight Sun Brewing Company,Anchorage, AK
1331,Snowshoe White Ale,Witbier,12.0,Midnight Sun Brewing Company,Anchorage, AK
1332,Kodiak Brown Ale,American Brown Ale,12.0,Midnight Sun Brewing Company,Anchorage, AK
1333,Sockeye Red IPA,American IPA,12.0,Midnight Sun Brewing Company,Anchorage, AK
1334,Habitus (2014),American Double / Imperial IPA,16.0,Mike Hess Brewing Company,San Diego, CA
1335,Solis,American IPA,16.0,Mike Hess Brewing Company,San Diego, CA
1336,Jucundus,Wheat Ale,16.0,Mike Hess Brewing Company,San Diego, CA
1337,Habitus,American Double / Imperial IPA,16.0,Mike Hess Brewing Company,San Diego, CA
1338,Grazias,Cream Ale,16.0,Mike Hess Brewing Company,San Diego, CA
1339,Claritas,Kölsch,16.0,Mike Hess Brewing Company,San Diego, CA
1340,Vinyl Frontier,American Double / Imperial IPA,24.0,Mikerphone Brewing,Chicago, IL
1341,Disco Superfly,American IPA,24.0,Mikerphone Brewing,Chicago, IL
1342,Misty Mountain Hop,American IPA,24.0,Mikerphone Brewing,Chicago, IL
1343,One-Hit Wonderful,Belgian IPA,24.0,Mikerphone Brewing,Chicago, IL
1344,En Parfaite Harmonie,Saison / Farmhouse Ale,24.0,Mikerphone Brewing,Chicago, IL
1345,Daft Funk,Berliner Weissbier,24.0,Mikerphone Brewing,Chicago, IL
1346,Love In An Ellavator,American IPA,24.0,Mikerphone Brewing,Chicago, IL
1347,Spin Doctor,American Pale Ale (APA),24.0,Mikerphone Brewing,Chicago, IL
1348,Keeper (Current),American Pilsner,12.0,Mikkeller,Pottstown, PA
1349,Better Half,American IPA,12.0,Mikkeller,Pottstown, PA
1350,SNO White Ale,Witbier,16.0,MillKing It Productions,Royal Oak, MI
1351,BRIK Irish Red Ale,Irish Red Ale,16.0,MillKing It Productions,Royal Oak, MI
1352,AXL Pale Ale,American Pale Ale (APA),16.0,MillKing It Productions,Royal Oak, MI
1353,Hop Freak,American Double / Imperial IPA,16.0,Milwaukee Brewing Company,Milwaukee, WI
1354,Louie's Demise Amber Ale,American Amber / Red Ale,16.0,Milwaukee Brewing Company,Milwaukee, WI
1355,Hop Happy,American IPA,16.0,Milwaukee Brewing Company,Milwaukee, WI
1356,Booyah Farmhouse Ale,Saison / Farmhouse Ale,16.0,Milwaukee Brewing Company,Milwaukee, WI
1357,O-Gii,Witbier,16.0,Milwaukee Brewing Company,Milwaukee, WI
1358,Flaming Damsel Lager (2010),Vienna Lager,16.0,Milwaukee Brewing Company,Milwaukee, WI
1359,Louie’s Demise Immort-Ale (2010),American Amber / Red Ale,16.0,Milwaukee Brewing Company,Milwaukee, WI
1360,Axe Head Malt Liquor,American Malt Liquor,24.0,Minhas Craft Brewery,Monroe, WI
1361,Huber Bock (2014),Bock,16.0,Minhas Craft Brewery,Monroe, WI
1362,Minhas Light (2012),Light Lager,12.0,Minhas Craft Brewery,Monroe, WI
1363,Huber,American Pale Lager,12.0,Minhas Craft Brewery,Monroe, WI
1364,Clear Creek Ice,American Pale Lager,16.0,Minhas Craft Brewery,Monroe, WI
1365,Clear Creek Ice,American Pale Lager,12.0,Minhas Craft Brewery,Monroe, WI
1366,Mountain Crest,American Pale Lager,16.0,Minhas Craft Brewery,Monroe, WI
1367,Mountain Crest,American Pale Lager,12.0,Minhas Craft Brewery,Monroe, WI
1368,Mountain Creek (2013),American Pale Lager,12.0,Minhas Craft Brewery,Monroe, WI
1369,Boxer,American Adjunct Lager,24.0,Minhas Craft Brewery,Monroe, WI
1370,Boxer Light,Light Lager,12.0,Minhas Craft Brewery,Monroe, WI
1371,Boxer Ice,American Adjunct Lager,12.0,Minhas Craft Brewery,Monroe, WI
1372,Boxer,American Adjunct Lager,12.0,Minhas Craft Brewery,Monroe, WI
1373,Cortez Gold,Belgian Pale Ale,32.0,Mission Brewery,San Diego, CA
1374,Mission IPA,American IPA,32.0,Mission Brewery,San Diego, CA
1375,El Conquistador Extra Pale Ale,American Pale Ale (APA),32.0,Mission Brewery,San Diego, CA
1376,Shipwrecked Double IPA,American Double / Imperial IPA,32.0,Mission Brewery,San Diego, CA
1377,Squeaky Bike Nut Brown Ale,American Brown Ale,16.0,Moab Brewery,Moab, UT
1378,Dead Horse Amber,American Pale Wheat Ale,16.0,Moab Brewery,Moab, UT
1379,Rocket Bike American Lager,California Common / Steam Beer,16.0,Moab Brewery,Moab, UT
1380,Johnny's American IPA,American IPA,16.0,Moab Brewery,Moab, UT
1381,Boneshaker Brown Ale,English Brown Ale,24.0,Moat Mountain Smoke House & Brew...,North Conway, NH
1382,Iron Mike Pale Ale,American Pale Ale (APA),24.0,Moat Mountain Smoke House & Brew...,North Conway, NH
1383,Monkadelic,American Pale Ale (APA),12.0,Modern Monks Brewery,Lincoln, NE
1384,City of the Sun,American IPA,16.0,Modern Times Beer,San Diego, CA
1385,Booming Rollers,American IPA,16.0,Modern Times Beer,San Diego, CA
1386,Oneida,American Pale Ale (APA),16.0,Modern Times Beer,San Diego, CA
1387,Aurora ,American Amber / Red Ale,16.0,Modern Times Beer,San Diego, CA
1388,Lomaland,Saison / Farmhouse Ale,16.0,Modern Times Beer,San Diego, CA
1389,Fortunate Islands,American Pale Wheat Ale,16.0,Modern Times Beer,San Diego, CA
1390,Black House,American Stout,16.0,Modern Times Beer,San Diego, CA
1391,Blazing World,American Amber / Red Ale,16.0,Modern Times Beer,San Diego, CA
1392,Wapiti Amber Ale,American Amber / Red Ale,12.0,Mogollon Brewing Company,Flagstaff, AZ
1393,Sweet Georgia Brown,American Brown Ale,16.0,Monkey Paw Pub & Brewery,San Diego, CA
1394,Rich Man's IIPA,American Double / Imperial IPA,16.0,Monkey Paw Pub & Brewery,San Diego, CA
1395,Monkey Paw Oatmeal Pale Ale,American Pale Ale (APA),16.0,Monkey Paw Pub & Brewery,San Diego, CA
1396,Montauk Summer Ale,American Blonde Ale,12.0,Montauk Brewing Company,Montauk, NY
1397,Driftwood Ale,Extra Special / Strong Bitter (ESB),12.0,Montauk Brewing Company,Montauk, NY
1398,When Helles Freezes Over,Munich Helles Lager,12.0,Morgan Street Brewery,Saint Louis, MO
1399,Morgan Street Oktoberfest,Märzen / Oktoberfest,12.0,Morgan Street Brewery,Saint Louis, MO
1400,Honey Wheat,American Pale Wheat Ale,12.0,Morgan Street Brewery,Saint Louis, MO
1401,Black Bear Dark Lager,Schwarzbier,12.0,Morgan Street Brewery,Saint Louis, MO
1402,Golden Pilsner,German Pilsener,12.0,Morgan Street Brewery,Saint Louis, MO
1403,Cali Creamin',Cream Ale,12.0,Mother Earth Brew Company,Vista, CA
1404,Second Wind Pale Ale,American Pale Ale (APA),12.0,Mother Earth Brewing Company,Kinston, NC
1405,Sunny Haze,Hefeweizen,12.0,Mother Earth Brewing Company,Kinston, NC
1406,Towhead,American Blonde Ale,12.0,Mother's Brewing,Springfield, MO
1407,Lil' Helper,American IPA,12.0,Mother's Brewing,Springfield, MO
1408,Train Wreck,American Amber / Red Ale,16.0,Mountain Town Brewing Company ,Mount Pleasant, MI
1409,Full Moon Belgian White Ale,Witbier,12.0,Mudshark Brewing Company,Lake Havasu City, AZ
1410,Desert Magic IPA,American IPA,12.0,Mudshark Brewing Company,Lake Havasu City, AZ
1411,Up River Light,Light Lager,12.0,Mudshark Brewing Company,Lake Havasu City, AZ
1412,Full Moon Belgian White Ale (2007),Witbier,12.0,Mudshark Brewing Company,Lake Havasu City, AZ
1413,Dry Heat Hefeweizen (2006),Hefeweizen,12.0,Mudshark Brewing Company,Lake Havasu City, AZ
1414,Mustang Sixty-Six,American Amber / Red Lager,12.0,Mustang Brewing Company,Mustang, OK
1415,Mustang '33,American Pale Lager,12.0,Mustang Brewing Company,Mustang, OK
1416,Session '33 (2011),American Pale Lager,12.0,Mustang Brewing Company,Mustang, OK
1417,Mustang Golden Ale,American Blonde Ale,12.0,Mustang Brewing Company,Mustang, OK
1418,Washita Wheat,American Pale Wheat Ale,12.0,Mustang Brewing Company,Mustang, OK
1419,Gansett Light,Light Lager,16.0,Narragansett Brewing Company,Providence, RI
1420,Bohemian Pils,American Pilsner,16.0,Narragansett Brewing Company,Providence, RI
1421,Autocrat Coffee Milk Stout,Milk / Sweet Stout,16.0,Narragansett Brewing Company,Providence, RI
1422,Narragansett Bohemian Pilsner,German Pilsener,16.0,Narragansett Brewing Company,Providence, RI
1423,Narragansett Summer Ale,American Pale Wheat Ale,12.0,Narragansett Brewing Company,Providence, RI
1424,Narragansett Cream Ale,Cream Ale,16.0,Narragansett Brewing Company,Providence, RI
1425,Narragansett Summer Ale,American Pale Wheat Ale,16.0,Narragansett Brewing Company,Providence, RI
1426,Narragansett Porter,American Porter,16.0,Narragansett Brewing Company,Providence, RI
1427,Narragansett Bock,Bock,16.0,Narragansett Brewing Company,Providence, RI
1428,Narragansett Fest Lager,Märzen / Oktoberfest,16.0,Narragansett Brewing Company,Providence, RI
1429,Undun Blonde Ale,American Blonde Ale,16.0,Natian Brewery,Portland, OR
1430,CuDa Cascadian Dark Ale,American Black Ale,16.0,Natian Brewery,Portland, OR
1431,Old Grogham Imperial India Pale Ale,American Double / Imperial IPA,16.0,Natian Brewery,Portland, OR
1432,Old Grogham Imperial India Pale Ale (2012),American Double / Imperial IPA,16.0,Natian Brewery,Portland, OR
1433,CuDa Cascadian Dark Ale (2012),American Black Ale,16.0,Natian Brewery,Portland, OR
1434,Undun Blonde Ale (2012),American Blonde Ale,16.0,Natian Brewery,Portland, OR
1435,Wick For Brains,Pumpkin Ale,12.0,Nebraska Brewing Company,Papillion, NE
1436,Nebraska India Pale Ale,American IPA,12.0,Nebraska Brewing Company,Papillion, NE
1437,EOS Hefeweizen,Hefeweizen,12.0,Nebraska Brewing Company,Papillion, NE
1438,Brunette Nut Brown Ale,English Brown Ale,12.0,Nebraska Brewing Company,Papillion, NE
1439,Cardinal Pale Ale,American Pale Ale (APA),12.0,Nebraska Brewing Company,Papillion, NE
1440,County Line IPA,American IPA,12.0,Neshaminy Creek Brewing Company,Croydon, PA
1441,Trauger Pilsner,German Pilsener,12.0,Neshaminy Creek Brewing Company,Croydon, PA
1442,Slow Ride,American IPA,12.0,New Belgium Brewing Company,Fort Collins, CO
1443,Ranger IPA,American IPA,12.0,New Belgium Brewing Company,Fort Collins, CO
1444,Shift,American Pale Lager,12.0,New Belgium Brewing Company,Fort Collins, CO
1445,1554 Black Lager,Euro Dark Lager,12.0,New Belgium Brewing Company,Fort Collins, CO
1446,Blue Paddle,Czech Pilsener,12.0,New Belgium Brewing Company,Fort Collins, CO
1447,California Route,American Amber / Red Lager,12.0,New Belgium Brewing Company,Fort Collins, CO
1448,Snapshot,American Pale Wheat Ale,16.0,New Belgium Brewing Company,Fort Collins, CO
1449,Sunshine Wheat Beer,American Pale Wheat Ale,12.0,New Belgium Brewing Company,Fort Collins, CO
1450,Fat Tire Amber Ale,American Amber / Red Ale,12.0,New Belgium Brewing Company,Fort Collins, CO
1451,Shift (1),American Pale Lager,12.0,New Belgium Brewing Company,Fort Collins, CO
1452,Fat Tire Amber Ale (2011),American Amber / Red Ale,12.0,New Belgium Brewing Company,Fort Collins, CO
1453,Shift,American Pale Lager,16.0,New Belgium Brewing Company,Fort Collins, CO
1454,Ranger IPA,American IPA,16.0,New Belgium Brewing Company,Fort Collins, CO
1455,Fat Tire Amber Ale,American Amber / Red Ale,16.0,New Belgium Brewing Company,Fort Collins, CO
1456,Ranger IPA (Current),American IPA,12.0,New Belgium Brewing Company,Fort Collins, CO
1457,Sunshine Wheat Beer (2009),American Pale Wheat Ale,12.0,New Belgium Brewing Company,Fort Collins, CO
1458,Fat Tire Amber Ale (2008),American Amber / Red Ale,12.0,New Belgium Brewing Company,Fort Collins, CO
1459,Weiss Trash Culture,Berliner Weissbier,12.0,New England Brewing Company,Woodbridge, CT
1460,Sea Hag IPA,American IPA,12.0,New England Brewing Company,Woodbridge, CT
1461,Elm City Pilsner,American Pilsner,12.0,New England Brewing Company,Woodbridge, CT
1462,Atlantic Amber Ale (2004),American Amber / Red Ale,12.0,New England Brewing Company,Woodbridge, CT
1463,668 Neighbor of the Beast12 oz.,Belgian Pale Ale,12.0,New England Brewing Company,Woodbridge, CT
1464,Gandhi-Bot Double IPA (12 oz.),American Double / Imperial IPA,12.0,New England Brewing Company,Woodbridge, CT
1465,668 Neighbor of the Beast (16 oz.) (2010),Belgian Pale Ale,16.0,New England Brewing Company,Woodbridge, CT
1466,Gandhi-Bot Double IPA (16 oz.) (2010),American Double / Imperial IPA,16.0,New England Brewing Company,Woodbridge, CT
1467,Elm City Lager (2007),American Pilsner,12.0,New England Brewing Company,Woodbridge, CT
1468,Atlantic Amber Ale (2007),American Amber / Red Ale,12.0,New England Brewing Company,Woodbridge, CT
1469,Sea Hag IPA (Current),American IPA,12.0,New England Brewing Company,Woodbridge, CT
1470,Rebirth Pale Ale,American Pale Ale (APA),12.0,New Orleans Lager & Ale Brewing ...,New Orleans, LA
1471,Irish Channel Stout,American Stout,16.0,New Orleans Lager & Ale Brewing ...,New Orleans, LA
1472,MechaHopzilla,American Double / Imperial IPA,16.0,New Orleans Lager & Ale Brewing ...,New Orleans, LA
1473,Hopitoulas IPA,American IPA,16.0,New Orleans Lager & Ale Brewing ...,New Orleans, LA
1474,NOLA Brown Ale,English Dark Mild Ale,12.0,New Orleans Lager & Ale Brewing ...,New Orleans, LA
1475,NOLA Blonde Ale,American Blonde Ale,12.0,New Orleans Lager & Ale Brewing ...,New Orleans, LA
1476,Skylight,Dunkelweizen,12.0,New Republic Brewing Company,College Station, TX
1477,Kadigan,American Blonde Ale,12.0,New Republic Brewing Company,College Station, TX
1478,Dammit Jim!,American Amber / Red Ale,12.0,New Republic Brewing Company,College Station, TX
1479,Nut Brown Ale,English Brown Ale,12.0,New South Brewing Company,Myrtle Beach, SC
1480,White Ale,Witbier,12.0,New South Brewing Company,Myrtle Beach, SC
1481,Cream Ale,Cream Ale,12.0,Newburgh Brewing Company,Newburgh, NY
1482,Green Head IPA,American IPA,12.0,Newburyport Brewing Company,Newburyport, MA
1483,Plum Island Belgian White,Witbier,12.0,Newburyport Brewing Company,Newburyport, MA
1484,Newburyport Pale Ale,American Pale Ale (APA),12.0,Newburyport Brewing Company,Newburyport, MA
1485,Marblehead,American Amber / Red Ale,16.0,Night Shift Brewing,Everett, MA
1486,Jam Session,American Pale Ale (APA),16.0,NoDa Brewing Company,Charlotte, NC
1487,Hop Drop 'N Roll IPA,American IPA,16.0,NoDa Brewing Company,Charlotte, NC
