name,style,ounces,brewery_name,city,state
El Hefe Speaks,Hefeweizen,12.0,DC Brau Brewing Company,Washington,DC
Penn Quarter Porter,Porter,12.0,DC Brau Brewing Company,Washington,DC
On the Wings of Armageddon,Double / Imperial IPA,12.0,DC Brau Brewing Company,Washington,DC
The Corruption,India Pale Ale,12.0,DC Brau Brewing Company,Washington,DC
The Citizen,Pale Ale,12.0,DC Brau Brewing Company,Washington,DC
The Public,Pale Ale,12.0,DC Brau Brewing Company,Washington,DC
Dank IPA,India Pale Ale,16.0,Dad & Dude's Breweria,Aurora,CO
Dank IPA (2012),India Pale Ale,16.0,Dad & Dude's Breweria,Aurora,CO
Lift Off IPA,India Pale Ale,16.0,Daredevil Brewing Company,Shelbyville,IN
BrewFarm Select Golden Lager,Others,12.0,Dave's Brewfarm,Wilson,WI
Sprocket Blonde Ale (2006),Blonde Ale,12.0,David's Ale Works,Diamond Springs,CA
Sprocket Pale Ale (2006),Pale Ale,12.0,David's Ale Works,Diamond Springs,CA
Dead Armadillo Amber Ale,Amber / Red Ale,12.0,Dead Armadillo Craft Brewing,Tulsa,OK
Neato Bandito,Others,12.0,Deep Ellum Brewing Company,Dallas,TX
Oak Cliff Coffee Ale,Brown Ale,12.0,Deep Ellum Brewing Company,Dallas,TX
Dream Crusher Double IPA,Double / Imperial IPA,12.0,Deep Ellum Brewing Company,Dallas,TX
Deep Ellum Pale Ale,Pale Ale,12.0,Deep Ellum Brewing Company,Dallas,TX
Double Brown Stout,Porter,12.0,Deep Ellum Brewing Company,Dallas,TX
Farmhouse Wit,Others,16.0,Deep Ellum Brewing Company,Dallas,TX
Rye Pils Session Lager,Pilsner,12.0,Deep Ellum Brewing Company,Dallas,TX
Dallas Blonde,Blonde Ale,12.0,Deep Ellum Brewing Company,Dallas,TX
Deep Ellum IPA,India Pale Ale,12.0,Deep Ellum Brewing Company,Dallas,TX
Thrasher Session India Pale Ale,India Pale Ale,12.0,Defiance Brewing Company,Hays,KS
Gutch English Style Mild Ale,Others,12.0,Defiance Brewing Company,Hays,KS
Chuli Stout,Dry Stout,12.0,Denali Brewing Company,Talkeetna,AK
Mother Ale,Blonde Ale,12.0,Denali Brewing Company,Talkeetna,AK
Twister Creek India Pale Ale,India Pale Ale,12.0,Denali Brewing Company,Talkeetna,AK
Single Engine Red,Others,12.0,Denali Brewing Company,Talkeetna,AK
Incredible Pedal IPA,India Pale Ale,12.0,Denver Beer Company,Denver,CO
Graham Cracker Porter,Porter,12.0,Denver Beer Company,Denver,CO
Mirror Pond Pale Ale,Pale Ale,12.0,Deschutes Brewery,Bend,OR
Weissenheimer,Hefeweizen,12.0,Destihl Brewery,Bloomington,IL
Abbey's Single (2015- ),Others,12.0,Destihl Brewery,Bloomington,IL
Vertex IPA,India Pale Ale,12.0,Destihl Brewery,Bloomington,IL
Here Gose Nothin',Others,12.0,Destihl Brewery,Bloomington,IL
Strawberry Blonde,Others,12.0,Destihl Brewery,Bloomington,IL
Hoperation Overload,Double / Imperial IPA,12.0,Destihl Brewery,Bloomington,IL
Abbey's Single Ale (Current),Others,12.0,Destihl Brewery,Bloomington,IL
Bravo Four Point,Pale Ale,12.0,Devil's Backbone Brewing Company,Lexington,VA
Striped Bass Pale Ale,Pale Ale,12.0,Devil's Backbone Brewing Company,Lexington,VA
Deadicated Amber,Amber / Red Ale,16.0,Devil's Canyon Brewery,Belmont,CA
Kaleidoscope Collaboration 2012,Others,16.0,Devil's Canyon Brewery,Belmont,CA
California Sunshine Rye IPA,India Pale Ale,16.0,Devil's Canyon Brewery,Belmont,CA
Full Boar Scotch Ale,Scotch Ale / Wee Heavy,16.0,Devil's Canyon Brewery,Belmont,CA
12 Man Pale Ale,Pale Ale,12.0,Dick's Brewing Company,Centralia,WA
Filthy Hoppin' IPA,India Pale Ale,16.0,Dirty Bucket Brewing Company,Woodinville,WA
Dock Street Amber Beer (1992),Amber / Red Ale,12.0,Dock Street Brewery,Philadelphia,PA
Dolores River Hefeweizen,Hefeweizen,16.0,Dolores River Brewery,Dolores,CO
Dolores River ESB,British-Style Bitter,16.0,Dolores River Brewery,Dolores,CO
Snaggletooth Double Pale Ale,Double / Imperial IPA,16.0,Dolores River Brewery,Dolores,CO
Dolores River Pale Ale,Pale Ale,16.0,Dolores River Brewery,Dolores,CO
Dolores River Dry Stout,Dry Stout,16.0,Dolores River Brewery,Dolores,CO
Dolores River Mild,Others,16.0,Dolores River Brewery,Dolores,CO
Cranberry Blend,Others,12.0,Downeast Cider House,Leominster,MA
Orignal Blend,Others,12.0,Downeast Cider House,Leominster,MA
Hop Abomination,India Pale Ale,12.0,Dry Dock Brewing Company,Aurora,CO
Apricot Blonde,Others,12.0,Dry Dock Brewing Company,Aurora,CO
Dry Dock Hefeweizen,Hefeweizen,12.0,Dry Dock Brewing Company,Aurora,CO
Dry Dock Amber Ale,Amber / Red Ale,12.0,Dry Dock Brewing Company,Aurora,CO
Category 3 IPA,India Pale Ale,12.0,Due South Brewing Company,Boynton Beach,FL
Dundee Summer Wheat Beer,Wheat Ale,12.0,Dundee Brewing Company,Rochester,NY
Pumpkin Patch Ale,Others,16.0,Eddyline Brewery & Restaurant,Buena Vista,CO
Crank Yanker IPA,India Pale Ale,16.0,Eddyline Brewery & Restaurant,Buena Vista,CO
River Runners Pale Ale,Pale Ale,16.0,Eddyline Brewery & Restaurant,Buena Vista,CO
Pumpkin Patch Ale (2012),Others,16.0,Eddyline Brewery & Restaurant,Buena Vista,CO
Mountain Fairy Raspberry Wheat,Others,16.0,Eddyline Brewery & Restaurant,Buena Vista,CO
Boater Beer,Pilsner,16.0,Eddyline Brewery & Restaurant,Buena Vista,CO
Crank Yanker IPA (2011),India Pale Ale,16.0,Eddyline Brewery & Restaurant,Buena Vista,CO
Bleeding Buckeye Red Ale,British-Style Bitter,16.0,Elevator Brewing Company,Columbus,OH
Dottie Seattle Lager,Others,16.0,Emerald City Beer Company,Seattle,WA
Nut Sack Imperial Brown Ale,Brown Ale,12.0,Engine 15 Brewing,Jacksonville Beach,FL
Underachiever,Others,16.0,Engine House 9,Tacoma,WA
Lil' Brainless Raspberries,Others,12.0,Epic Brewing,Denver,CO
Element 29,Pale Ale,12.0,Epic Brewing,Denver,CO
Hop Syndrome,Others,12.0,Epic Brewing,Denver,CO
Escape to Colorado,India Pale Ale,12.0,Epic Brewing,Denver,CO
Little Sister India Style Session Ale,India Pale Ale,12.0,Everybody's Brewing,White Salmon,WA
Country Boy IPA,India Pale Ale,12.0,Everybody's Brewing,White Salmon,WA
Blonde Czich,Blonde Ale,16.0,Evil Czech Brewery,Mishawaka,IN
White Reaper,India Pale Ale,16.0,Evil Czech Brewery,Mishawaka,IN
Bobblehead,Wheat Ale,16.0,Evil Czech Brewery,Mishawaka,IN
Lucky Dog,Pale Ale,16.0,Evil Czech Brewery,Mishawaka,IN
Voodoo,Porter,16.0,Evil Czech Brewery,Mishawaka,IN
General George Patton Pilsner,Pilsner,16.0,Evil Czech Brewery,Mishawaka,IN
Nomader Weiss,Others,12.0,Evil Twin Brewing,Brooklyn,NY
Molotov Lite,Double / Imperial IPA,16.0,Evil Twin Brewing,Brooklyn,NY
Hipster Ale (Two Roads Brewing),Pale Ale,12.0,Evil Twin Brewing,Brooklyn,NY
Bikini Beer,India Pale Ale,12.0,Evil Twin Brewing,Brooklyn,NY
Hipster Ale (Westbrook Brewing),Pale Ale,12.0,Evil Twin Brewing,Brooklyn,NY
Iron Horse Pale Ale,Pale Ale,12.0,Fargo Brewing Company,Fargo,ND
Stone's Throw IPA,Scotch Ale / Wee Heavy,12.0,Fargo Brewing Company,Fargo,ND
Wood Chipper India Pale Ale,India Pale Ale,12.0,Fargo Brewing Company,Fargo,ND
Trail Head,Pale Ale,12.0,Fat Head's Brewery,Middleburg Heights,OH
Hop Stalker Fresh Hop IPA,India Pale Ale,16.0,Fat Head's Brewery,Middleburg Heights,OH
Sudice American Stout,Others,16.0,Fate Brewing Company,Boulder,CO
Parcae Belgian Style Pale Ale,Pale Ale,16.0,Fate Brewing Company,Boulder,CO
Norns Roggenbier,Others,16.0,Fate Brewing Company,Boulder,CO
Laimas Kölsch Style Ale,Others,16.0,Fate Brewing Company,Boulder,CO
Moirai India Pale Ale,India Pale Ale,16.0,Fate Brewing Company,Boulder,CO
Loki Red Ale,Amber / Red Ale,16.0,Fearless Brewing Company,Estacada,OR
Peaches & Cream,Others,16.0,Fearless Brewing Company,Estacada,OR
Quaff India Style Session Ale,India Pale Ale,16.0,Fearless Brewing Company,Estacada,OR
Loki Red Ale (2013),Amber / Red Ale,16.0,Fearless Brewing Company,Estacada,OR
Mjolnir Imperial IPA,Double / Imperial IPA,16.0,Fearless Brewing Company,Estacada,OR
Fearless Scottish Ale,Scotch Ale / Wee Heavy,16.0,Fearless Brewing Company,Estacada,OR
Mastermind,Double / Imperial IPA,12.0,Fiddlehead Brewing Company,Shelburne,VT
Hyzer Flip,Double / Imperial IPA,16.0,Fiddlehead Brewing Company,Shelburne,VT
Second Fiddle,Double / Imperial IPA,16.0,Fiddlehead Brewing Company,Shelburne,VT
Hodad Porter,Porter,16.0,Fiddlehead Brewing Company,Shelburne,VT
Weiss Weiss Baby,Others,12.0,Figueroa Mountain Brewing Company,Buellton,CA
Czech Yo Self,Pilsner,12.0,Figueroa Mountain Brewing Company,Buellton,CA
FMB 101,Others,12.0,Figueroa Mountain Brewing Company,Buellton,CA
Hardcore Chimera,Double / Imperial IPA,16.0,Finch's Beer Company,Chicago,IL
Sobek & Set,Others,16.0,Finch's Beer Company,Chicago,IL
Nuclear Winter,Others,16.0,Finch's Beer Company,Chicago,IL
Wet Hot American Wheat Ale,Wheat Ale,16.0,Finch's Beer Company,Chicago,IL
Secret Stache Stout,Others,16.0,Finch's Beer Company,Chicago,IL
Fascist Pig Ale,Amber / Red Ale,16.0,Finch's Beer Company,Chicago,IL
Cut Throat Pale Ale,Pale Ale,16.0,Finch's Beer Company,Chicago,IL
Threadless IPA,India Pale Ale,16.0,Finch's Beer Company,Chicago,IL
Cut Throat Pale Ale (2011),Pale Ale,16.0,Finch's Beer Company,Chicago,IL
Golden Wing Blonde Ale,Blonde Ale,16.0,Finch's Beer Company,Chicago,IL
Easy Jack,India Pale Ale,12.0,Firestone Walker Brewing Company,Paso Robles,CA
Union Jack,India Pale Ale,12.0,Firestone Walker Brewing Company,Paso Robles,CA
Pivo Pils,Pilsner,12.0,Firestone Walker Brewing Company,Paso Robles,CA
805 Blonde Ale,Blonde Ale,12.0,Firestone Walker Brewing Company,Paso Robles,CA
805,Blonde Ale,12.0,Firestone Walker Brewing Company,Paso Robles,CA
Deflator,Doppelbock,16.0,Flat 12 Bierwerks,Indianapolis,IN
Hinchtown Hammer Down,Blonde Ale,16.0,Flat 12 Bierwerks,Indianapolis,IN
Half Cycle IPA,India Pale Ale,16.0,Flat 12 Bierwerks,Indianapolis,IN
Inclined Plane Ale,India Pale Ale,12.0,Flat Rock Brewing Company,Smithton,PA
Moped Traveler,Pale Ale,16.0,Flesk Brewing Company,Lombard,IL
Snake Dog IPA,India Pale Ale,12.0,Flying Dog Brewery,Frederick,MD
Underdog Atlantic Lager,Others,12.0,Flying Dog Brewery,Frederick,MD
Flying Mouse 8,Porter,12.0,Flying Mouse Brewery,Troutville,VA
Flying Mouse 4,India Pale Ale,12.0,Flying Mouse Brewery,Troutville,VA
La Ferme Urbaine Farmhouse Ale,Others,12.0,Foolproof Brewing Company,Pawtucket,RI
Backyahd IPA,India Pale Ale,12.0,Foolproof Brewing Company,Pawtucket,RI
Raincloud Robust Porter,Porter,12.0,Foolproof Brewing Company,Pawtucket,RI
Barstool American Golden Ale,Blonde Ale,12.0,Foolproof Brewing Company,Pawtucket,RI
What the Butler Saw,Witbier,12.0,Forgotten Boardwalk,Cherry Hill,NJ
1916 Shore Shiver,India Pale Ale,12.0,Forgotten Boardwalk,Cherry Hill,NJ
Quick WIT,Pale Ale,12.0,Fort George Brewery,Astoria,OR
The Optimist,India Pale Ale,12.0,Fort George Brewery,Astoria,OR
Suicide Squeeze IPA,India Pale Ale,16.0,Fort George Brewery,Astoria,OR
Java the Hop,India Pale Ale,16.0,Fort George Brewery,Astoria,OR
Next Adventure Black IPA,Others,16.0,Fort George Brewery,Astoria,OR
3-Way IPA (2013),India Pale Ale,16.0,Fort George Brewery,Astoria,OR
Tender Loving Empire NWPA,Pale Ale,16.0,Fort George Brewery,Astoria,OR
Quick Wit Belgianesque Ale,Witbier,16.0,Fort George Brewery,Astoria,OR
Sunrise Oatmeal Pale Ale,Pale Ale,16.0,Fort George Brewery,Astoria,OR
Cavatica Stout,Imperial Stout,16.0,Fort George Brewery,Astoria,OR
1811 Lager,Others,16.0,Fort George Brewery,Astoria,OR
Vortex IPA,India Pale Ale,16.0,Fort George Brewery,Astoria,OR
Fort Pitt Ale,Amber / Red Ale,12.0,Fort Pitt Brewing Company,Latrobe,PA
Park,Wheat Ale,12.0,Fort Point Beer Company,San Francisco,CA
Westfalia,Amber / Red Ale,12.0,Fort Point Beer Company,San Francisco,CA
KSA,Others,12.0,Fort Point Beer Company,San Francisco,CA
Villager,India Pale Ale,12.0,Fort Point Beer Company,San Francisco,CA
Dirty Bastard,Scotch Ale / Wee Heavy,12.0,Founders Brewing Company,Grand Rapids,MI
Centennial IPA,India Pale Ale,12.0,Founders Brewing Company,Grand Rapids,MI
All Day IPA,India Pale Ale,12.0,Founders Brewing Company,Grand Rapids,MI
El Chingon IPA,India Pale Ale,12.0,Four Corners Brewing Company,Dallas,TX
Block Party Robust Porter,Porter,12.0,Four Corners Brewing Company,Dallas,TX
Local Buzz,Blonde Ale,12.0,Four Corners Brewing Company,Dallas,TX
Feel Like Maplin' Love,Oatmeal Stout,16.0,Four Fathers Brewing ,Valparaiso,IN
Father's Beer,Pale Ale,16.0,Four Fathers Brewing ,Valparaiso,IN
The 26th,India Pale Ale,16.0,Four Fathers Brewing ,Valparaiso,IN
The Gadget,India Pale Ale,16.0,Four Fathers Brewing ,Valparaiso,IN
Leprechaun Lager,Others,12.0,Four Horsemen Brewing Company,South Bend,IN
Sunbru Kölsch,Others,12.0,Four Peaks Brewing Company,Tempe,AZ
Kilt Lifter,Scotch Ale / Wee Heavy,12.0,Four Peaks Brewing Company,Tempe,AZ
Pumpkin Porter,Porter,12.0,Four Peaks Brewing Company,Tempe,AZ
Four Peaks Peach Ale,Others,12.0,Four Peaks Brewing Company,Tempe,AZ
Hop Knot IPA,India Pale Ale,12.0,Four Peaks Brewing Company,Tempe,AZ
Kilt Lifter Scottish-Style Ale (2009),Scotch Ale / Wee Heavy,12.0,Four Peaks Brewing Company,Tempe,AZ
Sunbru Kölsch,Others,12.0,Four Peaks Brewing Company,Tempe,AZ
Four String Vanilla Porter,Porter,12.0,Four String Brewing Company,Columbus,OH
Suncaster Summer Wheat,Wheat Ale,12.0,Four String Brewing Company,Columbus,OH
Brass Knuckle Pale Ale,Pale Ale,12.0,Four String Brewing Company,Columbus,OH
Big Star White IPA,Others,12.0,Four String Brewing Company,Columbus,OH
Old Detroit,Amber / Red Ale,12.0,Frankenmuth Brewery,Frankenmuth,MI
Batch 69 IPA,India Pale Ale,12.0,Frankenmuth Brewery,Frankenmuth,MI
Twisted Helles Summer Lager,Others,12.0,Frankenmuth Brewery,Frankenmuth,MI
OktoberFiesta,Oktoberfest,12.0,Freetail Brewing Company,San Antonio,TX
Texicali ,Brown Ale,12.0,Freetail Brewing Company,San Antonio,TX
Pinata Protest,Witbier,12.0,Freetail Brewing Company,San Antonio,TX
Bat Outta Helles,Others,12.0,Freetail Brewing Company,San Antonio,TX
Original,Amber / Red Ale,12.0,Freetail Brewing Company,San Antonio,TX
Rye Wit,Witbier,12.0,Freetail Brewing Company,San Antonio,TX
Soul Doubt,India Pale Ale,12.0,Freetail Brewing Company,San Antonio,TX
Yo Soy Un Berliner,Others,12.0,Freetail Brewing Company,San Antonio,TX
77 Fremont Select Spring Session IPA,India Pale Ale,12.0,Fremont Brewing Company,Seattle,WA
Fremont Organic Pale Ale,Pale Ale,12.0,Fremont Brewing Company,Seattle,WA
Abominable Ale,Strong Ale,12.0,Fremont Brewing Company,Seattle,WA
Harvest Ale,Others,12.0,Fremont Brewing Company,Seattle,WA
Fremont Summer Ale,Pale Ale,12.0,Fremont Brewing Company,Seattle,WA
Universale Pale Ale,Pale Ale,12.0,Fremont Brewing Company,Seattle,WA
Interurban IPA,India Pale Ale,12.0,Fremont Brewing Company,Seattle,WA
Gateway Kolsch Style Ale,Others,12.0,French Broad Brewery,Asheville,NC
Wee-Heavy-Er Scotch Ale,Scotch Ale / Wee Heavy,12.0,French Broad Brewery,Asheville,NC
13 Rebels ESB,British-Style Bitter,12.0,French Broad Brewery,Asheville,NC
Salamander Slam,India Pale Ale,16.0,Frog Level Brewing Company,Waynesville,NC
Cack-A-Lacky,Pale Ale,12.0,Fullsteam Brewery,Durham,NC
No Wake IPA,India Pale Ale,12.0,Geneva Lake Brewing Company,Lake Geneva,WI
Boathouse Blonde,Blonde Ale,12.0,Geneva Lake Brewing Company,Lake Geneva,WI
Cedar Point,Amber / Red Ale,12.0,Geneva Lake Brewing Company,Lake Geneva,WI
Clean Shave IPA,India Pale Ale,12.0,Glabrous Brewing Company,Pineland,ME
Might As Well IPL,Others,16.0,Golden Road Brewing,Los Angeles,CA
Saison Pamplemousse,Others,12.0,Golden Road Brewing,Los Angeles,CA
2020 IPA,India Pale Ale,16.0,Golden Road Brewing,Los Angeles,CA
Wolf Among Weeds IPA,India Pale Ale,16.0,Golden Road Brewing,Los Angeles,CA
Better Weather IPA,India Pale Ale,16.0,Golden Road Brewing,Los Angeles,CA
Point the Way IPA,India Pale Ale,16.0,Golden Road Brewing,Los Angeles,CA
Golden Road Hefeweizen,Hefeweizen,16.0,Golden Road Brewing,Los Angeles,CA
Heal the Bay IPA,India Pale Ale,16.0,Golden Road Brewing,Los Angeles,CA
Point the Way IPA,India Pale Ale,12.0,Golden Road Brewing,Los Angeles,CA
Cabrillo Kölsch,Others,16.0,Golden Road Brewing,Los Angeles,CA
Get Up Offa That Brown,Brown Ale,16.0,Golden Road Brewing,Los Angeles,CA
Burning Bush Smoked IPA,India Pale Ale,16.0,Golden Road Brewing,Los Angeles,CA
Wolf Among Weeds IPA (2012),India Pale Ale,16.0,Golden Road Brewing,Los Angeles,CA
Point the Way IPA (2012),India Pale Ale,16.0,Golden Road Brewing,Los Angeles,CA
Golden Road Hefeweizen (2012),Hefeweizen,16.0,Golden Road Brewing,Los Angeles,CA
Vanilla Porter,Porter,16.0,Gonzo's BiggDogg Brewing,Kalamazoo,MI
Descender IPA,India Pale Ale,12.0,Good Life Brewing Company,Bend,OR
Sweet As Pacific Ale,Wheat Ale,12.0,Good Life Brewing Company,Bend,OR
Good People Pale Ale,Pale Ale,12.0,Good People Brewing Company,Birmingham,AL
Snake Handler Double IPA,Double / Imperial IPA,12.0,Good People Brewing Company,Birmingham,AL
Coffee Oatmeal Stout,Oatmeal Stout,12.0,Good People Brewing Company,Birmingham,AL
Good People IPA,India Pale Ale,12.0,Good People Brewing Company,Birmingham,AL
Good People American Brown Ale,Brown Ale,12.0,Good People Brewing Company,Birmingham,AL
Mountain Rescue Pale Ale,Pale Ale,12.0,Goodlife Brewing Co.,Bend,OR
Goose Island India Pale Ale,India Pale Ale,12.0,Goose Island Brewery Company,Chicago,IL
312 Urban Pale Ale,Pale Ale,16.0,Goose Island Brewing Company,Chicago,IL
312 Urban Pale Ale,Pale Ale,12.0,Goose Island Brewing Company,Chicago,IL
312 Urban Wheat Ale,Wheat Ale,16.0,Goose Island Brewing Company,Chicago,IL
312 Urban Wheat Ale,Wheat Ale,12.0,Goose Island Brewing Company,Chicago,IL
312 Urban Wheat Ale (2012),Wheat Ale,12.0,Goose Island Brewing Company,Chicago,IL
Beaver Logger,Others,12.0,Gore Range Brewery,Edwards,CO
White Water Wheat,Wheat Ale,12.0,Grand Canyon Brewing Company,Williams,AZ
Grand Canyon American Pilsner,Pilsner,12.0,Grand Canyon Brewing Company,Williams,AZ
Grand Canyon Sunset Amber Ale,Amber / Red Ale,12.0,Grand Canyon Brewing Company,Williams,AZ
Black Iron India Pale Ale,India Pale Ale,12.0,Grand Canyon Brewing Company,Williams,AZ
Monarch Classic American Wheat,Wheat Ale,12.0,Grapevine Craft Brewery,Farmers Branch,TX
Sir William's English Brown Ale,Brown Ale,12.0,Grapevine Craft Brewery,Farmers Branch,TX
Lakefire Rye Pale Ale,Pale Ale,12.0,Grapevine Craft Brewery,Farmers Branch,TX
Beer Agent Re-Ignition,Blonde Ale,16.0,Great Crescent Brewery,Aurora,IN
Cherry Ale,Others,16.0,Great Crescent Brewery,Aurora,IN
Bourbon Barrel Aged Coconut Porter,Porter,16.0,Great Crescent Brewery,Aurora,IN
Great Crescent IPA,India Pale Ale,16.0,Great Crescent Brewery,Aurora,IN
Aurora Lager,Others,16.0,Great Crescent Brewery,Aurora,IN
Great Crescent Blonde Ale,Blonde Ale,16.0,Great Crescent Brewery,Aurora,IN
Great Crescent Coconut Porter,Porter,16.0,Great Crescent Brewery,Aurora,IN
Great Crescent Oktoberfest Lager,Others,16.0,Great Crescent Brewery,Aurora,IN
Great Crescent Brown Ale,Brown Ale,16.0,Great Crescent Brewery,Aurora,IN
Cherry Ale (1),Others,16.0,Great Crescent Brewery,Aurora,IN
Aurora Lager (2011),Others,16.0,Great Crescent Brewery,Aurora,IN
Frosted Fields Winter Wheat,Others,16.0,Great Crescent Brewery,Aurora,IN
Great Crescent Belgian Style Wit,Witbier,16.0,Great Crescent Brewery,Aurora,IN
Bourbon's Barrel Stout,Others,16.0,Great Crescent Brewery,Aurora,IN
Great Crescent Stout,Others,16.0,Great Crescent Brewery,Aurora,IN
Great Crescent Coconut Porter (2012),Porter,16.0,Great Crescent Brewery,Aurora,IN
Great Crescent Dark Lager,Dark Lager,16.0,Great Crescent Brewery,Aurora,IN
Great Crescent Mild Ale,Others,16.0,Great Crescent Brewery,Aurora,IN
Great Crescent IPA (2011),India Pale Ale,16.0,Great Crescent Brewery,Aurora,IN
Great Crescent Blonde Ale (2011),Blonde Ale,16.0,Great Crescent Brewery,Aurora,IN
Denver Pale Ale (Artist Series No. 1),Pale Ale,12.0,Great Divide Brewing Company,Denver,CO
Hibernation Ale,Old Ale,12.0,Great Divide Brewing Company,Denver,CO
Whitewater,Wheat Ale,12.0,Great Divide Brewing Company,Denver,CO
Rumble,India Pale Ale,12.0,Great Divide Brewing Company,Denver,CO
Orabelle,Abbey Tripel,12.0,Great Divide Brewing Company,Denver,CO
Lasso,India Pale Ale,12.0,Great Divide Brewing Company,Denver,CO
Yeti  Imperial Stout,Imperial Stout,12.0,Great Divide Brewing Company,Denver,CO
Colette,Others,12.0,Great Divide Brewing Company,Denver,CO
Titan IPA,India Pale Ale,12.0,Great Divide Brewing Company,Denver,CO
Black Star Double Hopped Golden Lager (24 oz.),Others,24.0,Great Northern Brewing Company,Whitefish,MT
Black Star Double Hopped Golden Lager (12 oz.),Others,12.0,Great Northern Brewing Company,Whitefish,MT
Commotion APA,Pale Ale,12.0,Great Raft Brewing Company,Shreveport,LA
Southern Drawl Pale Lager,Others,12.0,Great Raft Brewing Company,Shreveport,LA
Chickawawa Lemonale,Others,12.0,Great River Brewery,Davenport,IA
Barrel Aged Farmer,Brown Ale,16.0,Great River Brewery,Davenport,IA
Great River Golden Ale,Blonde Ale,12.0,Great River Brewery,Davenport,IA
Dirty Blonde Chocolate Ale,Blonde Ale,12.0,Great River Brewery,Davenport,IA
Dos Pistolas,Vienna,12.0,Great River Brewery,Davenport,IA
Owney Irish Style Red Ale,Others,16.0,Great River Brewery,Davenport,IA
Aaah Bock Lager,Vienna,16.0,Great River Brewery,Davenport,IA
Widespread Wit,Witbier,16.0,Great River Brewery,Davenport,IA
Roller Dam Red Ale,Others,16.0,Great River Brewery,Davenport,IA
483 Pale Ale,Pale Ale,16.0,Great River Brewery,Davenport,IA
Hop A Potamus Double Dark Rye Pale Ale,Others,16.0,Great River Brewery,Davenport,IA
Farmer Brown Ale,Brown Ale,16.0,Great River Brewery,Davenport,IA
Big Cock IPA,India Pale Ale,16.0,Great River Brewery,Davenport,IA
Oktoberfest,Others,16.0,Great River Brewery,Davenport,IA
40th Annual Bix Street Fest Copper Ale (Current),Amber / Red Ale,16.0,Great River Brewery,Davenport,IA
Redband Stout,Others,16.0,Great River Brewery,Davenport,IA
483 Pale Ale (2010),Pale Ale,16.0,Great River Brewery,Davenport,IA
Roller Dam Red Ale (2010),Others,16.0,Great River Brewery,Davenport,IA
Pablo Beach Pale Ale,Pale Ale,12.0,Green Room Brewing,Jacksonville,FL
Wild Trail Pale Ale,Pale Ale,12.0,Greenbrier Valley Brewing Company,Lewisburg,WV
Mothman Black IPA,Others,12.0,Greenbrier Valley Brewing Company,Lewisburg,WV
Autumn Winds Fest Beer,Others,16.0,Grey Sail Brewing Company,Westerly,RI
Captain's Daughter,Double / Imperial IPA,12.0,Grey Sail Brewing Company,Westerly,RI
Autumn Winds,Others,16.0,Grey Sail Brewing of Rhode Island,Westerly,RI
Flying Jenny Extra Pale Ale,Pale Ale,12.0,Grey Sail Brewing of Rhode Island,Westerly,RI
Hazy Day Belgian-Style Wit,Witbier,16.0,Grey Sail Brewing of Rhode Island,Westerly,RI
Bring Back the Beach Blonde Ale,Blonde Ale,16.0,Grey Sail Brewing of Rhode Island,Westerly,RI
Leaning Chimney Smoked Porter,Porter,16.0,Grey Sail Brewing of Rhode Island,Westerly,RI
Flying Jenny Extra Pale Ale (2012),Pale Ale,12.0,Grey Sail Brewing of Rhode Island,Westerly,RI
Flagship Ale,Cream Ale,12.0,Grey Sail Brewing of Rhode Island,Westerly,RI
Mr. Blue Sky,Wheat Ale,16.0,Griffin Claw Brewing Company,Birmingham,MI
3 Scrooges,Others,16.0,Griffin Claw Brewing Company,Birmingham,MI
Screamin’ Pumpkin,Others,16.0,Griffin Claw Brewing Company,Birmingham,MI
Grand Trunk Bohemian Pils,Pilsner,16.0,Griffin Claw Brewing Company,Birmingham,MI
El Rojo,Amber / Red Ale,16.0,Griffin Claw Brewing Company,Birmingham,MI
Norm's Raggedy Ass IPA,India Pale Ale,16.0,Griffin Claw Brewing Company,Birmingham,MI
Grind Line,Pale Ale,16.0,Griffin Claw Brewing Company,Birmingham,MI
Norm's Gateway IPA,India Pale Ale,12.0,Griffin Claw Brewing Company,Birmingham,MI
Lemon Shandy Tripel,Abbey Tripel,16.0,Griffin Claw Brewing Company,Birmingham,MI
Little Red Cap,Altbier,12.0,Grimm Brothers Brewhouse,Loveland,CO
Supergoose IPA,India Pale Ale,12.0,Hale's Ales,Seattle,WA
Hale's Pale American Ale,Pale Ale,12.0,Hale's Ales,Seattle,WA
Heyoka IPA,India Pale Ale,16.0,Half Acre Beer Company,Chicago,IL
Guest Lager,Others,16.0,Half Acre Beer Company,Chicago,IL
Pony Pilsner,Pilsner,16.0,Half Acre Beer Company,Chicago,IL
Akari Shogun American Wheat Ale,Wheat Ale,16.0,Half Acre Beer Company,Chicago,IL
Meat Wave,India Pale Ale,16.0,Half Acre Beer Company,Chicago,IL
Over Ale,Brown Ale,16.0,Half Acre Beer Company,Chicago,IL
Gossamer Golden Ale,Blonde Ale,16.0,Half Acre Beer Company,Chicago,IL
Daisy Cutter Pale Ale,Pale Ale,16.0,Half Acre Beer Company,Chicago,IL
Pursuit,India Pale Ale,12.0,Half Full Brewery,Stamford,CT
Half Full Bright Ale,Blonde Ale,12.0,Half Full Brewery,Stamford,CT
Orange Wheat,Others,12.0,Hangar 24 Craft Brewery,Redlands,CA
Hangar 24 Helles Lager,Others,12.0,Hangar 24 Craft Brewery,Redlands,CA
