name,style,ounces,brewery_name,city,state
Aslan IPA,India Pale Ale,16.0,Aslan Brewing Company,Bellingham,WA
Aslan Amber,Amber / Red Ale,16.0,Aslan Brewing Company,Bellingham,WA
This Season's Blonde,Blonde Ale,12.0,Aspen Brewing Company,Aspen,CO
Independence Pass Ale,India Pale Ale,12.0,Aspen Brewing Company,Aspen,CO
Trolley Stop Stout,Others,12.0,Astoria Brewing Company,Astoria,OR
Bitter Bitch Imperial IPA,Double / Imperial IPA,12.0,Astoria Brewing Company,Astoria,OR
Poop Deck Porter,Porter,12.0,Astoria Brewing Company,Astoria,OR
Old Red Beard Amber Ale,Amber / Red Ale,12.0,Astoria Brewing Company,Astoria,OR
Hop A-Peel,Double / Imperial IPA,16.0,Atwater Brewery,Detroit,MI
Vanilla Java Porter,Porter,16.0,Atwater Brewery,Detroit,MI
Michelada,Others,16.0,Atwater Brewery,Detroit,MI
Dirty Blonde Ale,Blonde Ale,12.0,Atwater Brewery,Detroit,MI
Grand Circus IPA,India Pale Ale,12.0,Atwater Brewery,Detroit,MI
Atwater's Lager,Others,12.0,Atwater Brewery,Detroit,MI
Heavy Machinery IPA Series #1: Heavy Fist,Others,16.0,Austin Beerworks,Austin,TX
Fire Eagle IPA,India Pale Ale,12.0,Austin Beerworks,Austin,TX
Peacemaker,Pale Ale,12.0,Austin Beerworks,Austin,TX
Pearl-Snap,Pilsner,12.0,Austin Beerworks,Austin,TX
Black Thunder,Schwarzbier,12.0,Austin Beerworks,Austin,TX
Raja,Double / Imperial IPA,12.0,Avery Brewing Company,Boulder,CO
Perzik Saison,Others,12.0,Avery Brewing Company,Boulder,CO
Avery Joe’s Premium American Pilsner,Pilsner,12.0,Avery Brewing Company,Boulder,CO
White Rascal,Witbier,12.0,Avery Brewing Company,Boulder,CO
Avery India Pale Ale,India Pale Ale,12.0,Avery Brewing Company,Boulder,CO
Ellie’s Brown Ale,Brown Ale,12.0,Avery Brewing Company,Boulder,CO
Pumpkin Beast,Others,12.0,Aviator Brewing Company,Fuquay-Varina,NC
OktoberBeast,Others,12.0,Aviator Brewing Company,Fuquay-Varina,NC
Mad Beach,Wheat Ale,12.0,Aviator Brewing Company,Fuquay-Varina,NC
Hog Wild India Pale Ale,India Pale Ale,12.0,Aviator Brewing Company,Fuquay-Varina,NC
Devils Tramping Ground Tripel,Abbey Tripel,12.0,Aviator Brewing Company,Fuquay-Varina,NC
Hot Rod Red,Amber / Red Ale,12.0,Aviator Brewing Company,Fuquay-Varina,NC
Palate Mallet,Double / Imperial IPA,12.0,Back East Brewing Company,Bloomfield,CT
Back East Porter,Porter,12.0,Back East Brewing Company,Bloomfield,CT
Back East Golden Ale,Blonde Ale,12.0,Back East Brewing Company,Bloomfield,CT
Misty Mountain IPA,India Pale Ale,12.0,Back East Brewing Company,Bloomfield,CT
Back East Ale,Amber / Red Ale,12.0,Back East Brewing Company,Bloomfield,CT
Truck Stop Honey Brown Ale,Brown Ale,12.0,Back Forty Beer Company,Gadsden,AL
Naked Pig Pale Ale,Pale Ale,12.0,Back Forty Beer Company,Gadsden,AL
