id,name,style,brewery_id,ounces,brewery_id,brewery_name,city,state
1246,"Cranberry Blend",Cider,446,12,446,"Downeast Cider House",Leominster," MA"
1247,"Ray Ray’s Pale Ale","American Pale Ale (APA)",122,12,122,"Center of the Universe Brewing C...",Ashland," VA"
1248,"Main St. Virginia Ale",Altbier,122,12,122,"Center of the Universe Brewing C...",Ashland," VA"
1249,"Duluchan India Pale Ale","American IPA",345,12,345,"Lavery Brewing Company",Erie," PA"
1250,"Action Man Lager","Vienna Lager",445,12,445,"Howard Brewing Company",Lenoir," NC"
1251,"Trail Maker Pale Ale","American Pale Ale (APA)",445,12,445,"Howard Brewing Company",Lenoir," NC"
1252,"Dale's Pale Ale","American Pale Ale (APA)",166,12,166,"Oskar Blues Brewery",Longmont," CO"
1253,"Venture Pils","German Pilsener",75,12,75,"Bent Paddle Brewing Company",Duluth," MN"
1254,"JP's Ould Sod Irish Red IPA","American IPA",32,12,32,"James Page Brewing Company","Stevens Point"," WI"
1255,"Bad Axe Imperial IPA","American Double / Imperial IPA",444,16,444,"Big Wood Brewery","Vadnais Heights"," MN"
1256,"Forest Fire Imperial Smoked Rye","Rye Beer",444,16,444,"Big Wood Brewery","Vadnais Heights"," MN"
1257,"Jack Pine Savage","American Pale Ale (APA)",444,16,444,"Big Wood Brewery","Vadnais Heights"," MN"
1258,"5 Day IPA","American IPA",442,12,442,"O'Fallon Brewery",O'Fallon," MO"
1259,"13 Rebels ESB","Extra Special / Strong Bitter (ESB)",433,12,433,"French Broad Brewery",Asheville," NC"
1260,"Wee-Heavy-Er Scotch Ale","Scotch Ale / Wee Heavy",433,12,433,"French Broad Brewery",Asheville," NC"
1261,"Bent Paddle Black Ale","American Black Ale",75,12,75,"Bent Paddle Brewing Company",Duluth," MN"
1262,"Marble Pilsner","German Pilsener",443,12,443,"Marble Brewery",Albuquerque," NM"
1263,"El Hefe Speaks",Hefeweizen,227,12,227,"DC Brau Brewing Company",Washington," DC"
1264,"O'Fallon Pumpkin Beer","Pumpkin Ale",442,12,442,"O'Fallon Brewery",O'Fallon," MO"
1265,"Old Grogham Imperial India Pale Ale","American Double / Imperial IPA",387,16,387,"Natian Brewery",Portland," OR"
1266,Zaison,"Saison / Farmhouse Ale",10,16,10,"Brewery Vivant","Grand Rapids"," MI"
1267,"Black Rabbit","American Black Ale",10,16,10,"Brewery Vivant","Grand Rapids"," MI"
1268,"Rustic Red","Irish Red Ale",441,16,441,"Pateros Creek Brewing Company","Fort Collins"," CO"
1269,"Great Crescent Coconut Porter","American Porter",165,16,165,"Great Crescent Brewery",Aurora," IN"
1270,"Capital Trail Pale Ale","American Pale Ale (APA)",343,12,343,"Hardywood Park Craft Brewery",Richmond," VA"
1271,"Lemongrass Saison","Saison / Farmhouse Ale",375,12,375,"Maui Brewing Company",Lahaina," HI"
1272,"Louie's Demise Amber Ale","American Amber / Red Ale",284,16,284,"Milwaukee Brewing Company",Milwaukee," WI"
1273,"SNO White Ale",Witbier,440,16,440,"MillKing It Productions","Royal Oak"," MI"
1274,"Longboard Island Lager","American Amber / Red Lager",439,24,439,"Kona Brewing Company",Kona," HI"
1275,"Dirty Blonde Chocolate Ale","American Blonde Ale",365,12,365,"Great River Brewery",Davenport," IA"
1276,"Will Power Pale Ale","American Pale Ale (APA)",438,16,438,"The Right Brain Brewery","Traverse City"," MI"
1277,"CEO Stout","American Stout",438,16,438,"The Right Brain Brewery","Traverse City"," MI"
1278,"Northern Hawk Owl Amber","American Amber / Red Ale",438,12,438,"The Right Brain Brewery","Traverse City"," MI"
1279,"East India Pale Ale","English India Pale Ale (IPA)",437,16,437,"Brooklyn Brewery",Brooklyn," NY"
1280,"Lazy Daze Lager","American Adjunct Lager",229,16,229,"Rochester Mills Brewing Company",Rochester," MI"
1281,"Samuel Adams Octoberfest","Märzen / Oktoberfest",300,12,300,"Boston Beer Company",Boston," MA"
1282,"Nice Rack IPA","American IPA",436,16,436,"Southern Oregon Brewing Company",Medford," OR"
1283,"Na Zdraví Pilsner","Czech Pilsener",436,16,436,"Southern Oregon Brewing Company",Medford," OR"
1284,"Dog Days Lager","Dortmunder / Export Lager",74,12,74,"Two Brothers Brewing Company",Warrenville," IL"
1285,"No Limits Hefeweizen",Hefeweizen,435,16,435,"Two Roads Brewing Company",Stratford," CT"
1286,"Bikini Beer","American IPA",173,12,173,"Evil Twin Brewing",Brooklyn," NY"
1287,"Hipster Ale (Two Roads Brewing)","American Pale Ale (APA)",173,12,173,"Evil Twin Brewing",Brooklyn," NY"
1288,"Bozone Hefe Weizen",Hefeweizen,219,12,219,"Bozeman Brewing Company",Bozeman," MT"
1289,"Bozone HopZone IPA","American IPA",219,12,219,"Bozeman Brewing Company",Bozeman," MT"
1290,"The Sword Iron Swan Ale","English Pale Ale",128,12,128,"Real Ale Brewing Company",Blanco," TX"
1291,"Narragansett Bohemian Pilsner","German Pilsener",143,16,143,"Narragansett Brewing Company",Providence," RI"
1292,"Angry Orchard Crisp Apple",Cider,434,12,434,"Angry Orchard Cider Company",Cincinnati," OH"
1293,"Angry Orchard Crisp Apple",Cider,434,16,434,"Angry Orchard Cider Company",Cincinnati," OH"
1294,"Angry Orchard Apple Ginger",Cider,434,16,434,"Angry Orchard Cider Company",Cincinnati," OH"
1295,Summerfest,"Czech Pilsener",83,12,83,"Sierra Nevada Brewing Company",Chico," CA"
1296,"Point the Way IPA","American IPA",240,12,240,"Golden Road Brewing","Los Angeles"," CA"
1297,"Estival Cream Stout","American Stout",264,12,264,"Ska Brewing Company",Durango," CO"
1298,"Sockeye Belgian Style Summer Ale",Witbier,309,16,309,"Sockeye Brewing Company",Boise," ID"
1299,"Supermonk I.P.A.","Belgian IPA",30,12,30,"SanTan Brewing Company",Chandler," AZ"
1300,"Gateway Kolsch Style Ale",Kölsch,433,12,433,"French Broad Brewery",Asheville," NC"
1301,"Easy Livin' Summer Ale","American Blonde Ale",212,12,212,"Crow Peak Brewing Company",Spearfish," SD"
1302,"Blur India Pale Ale","American IPA",432,12,432,"Seabright Brewery","Santa Cruz"," CA"
1303,"6-4-3 Double Play Pilsner","German Pilsener",380,12,380,"Blue Blood Brewing Company",Lincoln," NE"
1304,"Slimy Pebble Pils","German Pilsener",431,12,431,"North Country Brewing Company","Slippery Rock"," PA"
1305,"Station 33 Firehouse Red","Irish Red Ale",431,12,431,"North Country Brewing Company","Slippery Rock"," PA"
1306,"Buck Snort Stout","American Stout",431,12,431,"North Country Brewing Company","Slippery Rock"," PA"
1307,"Paleo IPA","English India Pale Ale (IPA)",431,12,431,"North Country Brewing Company","Slippery Rock"," PA"
1308,"Rhino Chasers Pilsner","Czech Pilsener",430,12,430,"Lost Rhino Brewing Company",Ashburn," VA"
1309,"Face Plant IPA","American IPA",430,12,430,"Lost Rhino Brewing Company",Ashburn," VA"
1310,"Boston Lager","Vienna Lager",300,12,300,"Boston Beer Company",Boston," MA"
1311,"Geary's Summer Ale",Kölsch,323,12,323,"D.L. Geary Brewing Company",Portland," ME"
1312,"Westbrook Gose",Gose,384,12,384,"Westbrook Brewing Company","Mt. Pleasant"," SC"
1313,"Harpoon Octoberfest","Märzen / Oktoberfest",234,12,234,"Harpoon Brewery",Boston," MA"
1314,"Popcorn Pilsner","German Pilsener",25,16,25,"Sun King Brewing Company",Indianapolis," IN"
1315,"Upslope Imperial India Pale Ale","American Double / Imperial IPA",51,19.2,51,"Upslope Brewing Company",Boulder," CO"
1316,"Colorojo Imperial Red Ale","American Strong Ale",424,12,424,"Wynkoop Brewing Company",Denver," CO"
1317,"Steel Rail Extra Pale Ale","American Pale Ale (APA)",278,12,278,"Berkshire Brewing Company","South Deerfield"," MA"
1318,"Wild Wolf Wee Heavy Scottish Style Ale","Scotch Ale / Wee Heavy",181,12,181,"Wild Wolf Brewing Company",Nellysford," VA"
1319,"Pernicious Double IPA","American Double / Imperial IPA",380,12,380,"Blue Blood Brewing Company",Lincoln," NE"
1320,"Last Call Imperial Amber Ale","American Amber / Red Ale",380,12,380,"Blue Blood Brewing Company",Lincoln," NE"
1321,"Brewerhood Brown Ale","American Brown Ale",380,12,380,"Blue Blood Brewing Company",Lincoln," NE"
1322,"Green Bullet Organic India Pale Ale","American IPA",429,16,429,"Asher Brewing Company",Boulder," CO"
1323,"Schlafly Black Lager",Schwarzbier,428,12,428,"Schlafly Brewing Company","Saint Louis"," MO"
1324,"Schlafly Yakima Wheat Ale","American Pale Wheat Ale",428,12,428,"Schlafly Brewing Company","Saint Louis"," MO"
1325,"Big Rod Coconut Ale","American Blonde Ale",393,12,393,"Miami Brewing Company",Miami," FL"
1326,"Boont Amber Ale","American Amber / Red Ale",171,12,171,"Anderson Valley Brewing Company",Boonville," CA"
1327,"Hop Ottin' IPA","American IPA",171,12,171,"Anderson Valley Brewing Company",Boonville," CA"
1328,"Deviant Dale's IPA","American Double / Imperial IPA",389,16,389,"Oskar Blues Brewery (North Carol...",Brevard," NC"
1329,"I.W.A. (2011)","American Pale Wheat Ale",30,12,30,"SanTan Brewing Company",Chandler," AZ"
1330,"Track 1 Amber Lager","American Amber / Red Lager",427,16,427,"Roanoke Railhouse Brewery",Roanoke," VA"
1331,"Hardywood Cream Ale","Cream Ale",343,12,343,"Hardywood Park Craft Brewery",Richmond," VA"
1332,"Greenbelt Farmhouse Ale","Saison / Farmhouse Ale",426,12,426,"Armadillo Ale Works",Denton," TX"
1333,"Quakertown Stout","American Double / Imperial Stout",426,12,426,"Armadillo Ale Works",Denton," TX"
1334,"Dreamin' Double IPA","American Double / Imperial IPA",356,12,356,"Manayunk Brewing Company",Philadelphia," PA"
1335,"Float Trip Ale","American Blonde Ale",314,16,314,"Piney River Brewing Company",Bucryus," MO"
1336,"Core ESB","Extra Special / Strong Bitter (ESB)",139,12,139,"Core Brewing & Distilling Company",Springdale," AR"
1337,"Core Oatmeal Stout","Oatmeal Stout",139,12,139,"Core Brewing & Distilling Company",Springdale," AR"
1338,"Old Chico Crystal Wheat","American Pale Wheat Ale",83,12,83,"Sierra Nevada Brewing Company",Chico," CA"
1340,"UFO Pumpkin","Pumpkin Ale",234,12,234,"Harpoon Brewery",Boston," MA"
1341,"Magic Apple",Cider,425,12,425,Ciderboys,"Stevens Point"," WI"
1342,"First Press",Cider,425,12,425,Ciderboys,"Stevens Point"," WI"
1343,"Barrio Tucson Blonde","American Blonde Ale",251,12,251,"Barrio Brewing Company",Tucson," AZ"
1344,Classique,"Saison / Farmhouse Ale",255,12,255,"Stillwater Artisanal Ales",Baltimore," MD"
1345,"Patty's Chile Beer","Chile Beer",424,12,424,"Wynkoop Brewing Company",Denver," CO"
1346,"Habitus IPA","American IPA",423,16,423,"Hess Brewing Company","San Diego"," CA"
1347,"Bourbon Barrel Cowbell","American Porter",25,16,25,"Sun King Brewing Company",Indianapolis," IN"
1348,"KelSo Pilsner","Czech Pilsener",342,12,342,"KelSo Beer Company",Brooklyn," NY"
1349,"Boston Lager","Vienna Lager",300,16,300,"Boston Beer Company",Boston," MA"
1350,"Summer Solstice","Cream Ale",171,12,171,"Anderson Valley Brewing Company",Boonville," CA"
1351,Grazias,"Cream Ale",423,16,423,"Hess Brewing Company","San Diego"," CA"
1352,Contemplation,"Bière de Garde",10,16,10,"Brewery Vivant","Grand Rapids"," MI"
1353,"Alphadelic IPA","American IPA",198,12,198,"Hop Valley Brewing Company",Springfield," OR"
1354,"541 American Lager","American Pale Lager",198,12,198,"Hop Valley Brewing Company",Springfield," OR"
1355,"Schuylkill Punch","Fruit / Vegetable Beer",356,12,356,"Manayunk Brewing Company",Philadelphia," PA"
1356,"Monk from the 'Yunk",Tripel,356,12,356,"Manayunk Brewing Company",Philadelphia," PA"
1357,"Point Oktoberfest","Märzen / Oktoberfest",131,16,131,"Stevens Point Brewery","Stevens Point"," WI"
1359,"Saranac Shandy",Shandy,299,12,299,"Matt Brewing Company",Utica," NY"
1360,"Screaming Eagle Special Ale ESB","Extra Special / Strong Bitter (ESB)",107,12,107,"Bonfire Brewing Company",Eagle," CO"
1361,"Half Full Bright Ale","American Blonde Ale",248,12,248,"Half Full Brewery",Stamford," CT"
1362,"Casinos IPA","English India Pale Ale (IPA)",252,16,252,"Santa Cruz Mountain Brewing","Santa Cruz"," CA"
1363,Grisette,Grisette,371,12,371,"Sly Fox Brewing Company",Pottstown," PA"
1364,"Big Bowl Blonde Ale","American Brown Ale",361,12,361,"Wild Onion Brewing Company","Lake Barrington"," IL"
1365,"Pumple Drumkin","Pumpkin Ale",145,12,145,"Cisco Brewers",Nantucket," MA"
1366,"Stupid Sexy Flanders","Flanders Oud Bruin",25,16,25,"Sun King Brewing Company",Indianapolis," IN"
1367,"Bourbon Barrel Aged Timmie","Russian Imperial Stout",25,16,25,"Sun King Brewing Company",Indianapolis," IN"
1369,"Gwar Beer","American Pale Ale (APA)",141,12,141,"Cigar City Brewing Company",Tampa," FL"
1370,"Ruhstaller's Gilt Edge Lager Beer","American Amber / Red Lager",397,12,397,"Ruhstaller Beer Company",Sacramento," CA"
1371,"Green Collar",Mead,422,12,422,"Blue Dog Mead",Eugene," OR"
1372,"Yellow Collar",Mead,422,12,422,"Blue Dog Mead",Eugene," OR"
1373,"Black Raspberry Nectar",Mead,421,16,421,"Redstone Meadery",Boulder," CO"
1374,"Sunshine Nectar",Mead,421,16,421,"Redstone Meadery",Boulder," CO"
1375,"Nectar of the Hops",Mead,421,16,421,"Redstone Meadery",Boulder," CO"
1376,"Hard Apple",Cider,185,16,185,"Vander Mill Ciders","Spring Lake"," MI"
1377,"Blue Gold",Cider,185,16,185,"Vander Mill Ciders","Spring Lake"," MI"
1378,"Totally Roasted",Cider,185,16,185,"Vander Mill Ciders","Spring Lake"," MI"
1379,"Harpoon IPA","American IPA",234,12,234,"Harpoon Brewery",Boston," MA"
1380,"Harpoon Summer Beer",Kölsch,234,12,234,"Harpoon Brewery",Boston," MA"
1381,"Endless Sun Ale","American Pale Wheat Ale",301,16,301,"Old Forge Brewing Company",Danville," PA"
1382,"Crank Yanker IPA","American IPA",369,16,369,"Eddyline Brewery & Restaurant","Buena Vista"," CO"
1383,"Beaver Logger","American Pale Lager",420,12,420,"Gore Range Brewery",Edwards," CO"
1384,"Elephant Rock IPA","American IPA",355,12,355,"Pikes Peak Brewing Company",Monument," CO"
1385,"Bengali Tiger","American IPA",46,16,46,"Sixpoint Craft Ales",Brooklyn," NY"
1386,"Righteous Ale","Rye Beer",46,16,46,"Sixpoint Craft Ales",Brooklyn," NY"
1387,"Sweet Action","Cream Ale",46,16,46,"Sixpoint Craft Ales",Brooklyn," NY"
1388,"The Crisp","German Pilsener",46,16,46,"Sixpoint Craft Ales",Brooklyn," NY"
1389,"Osiris Pale Ale","American Pale Ale (APA)",25,16,25,"Sun King Brewing Company",Indianapolis," IN"
1390,"Double D Blonde (2013)","American Blonde Ale",198,12,198,"Hop Valley Brewing Company",Springfield," OR"
1391,"Sanitas Black IPA","American Black Ale",419,12,419,"Sanitas Brewing Company",Boulder," CO"
1392,"Sanitas Saison Ale","Saison / Farmhouse Ale",419,12,419,"Sanitas Brewing Company",Boulder," CO"
1393,"Cascadian Dark Ale","American Black Ale",418,12,418,"Coalition Brewing Company",Portland," OR"
1394,"Old Forge Pumpkin Ale","Pumpkin Ale",301,16,301,"Old Forge Brewing Company",Danville," PA"
1395,"Hazed & Infused","American Pale Ale (APA)",417,12,417,"Boulder Beer Company",Boulder," CO"
1396,"Laughing Dog IPA","American IPA",218,12,218,"Laughing Dog Brewing Company",Ponderay," ID"
1397,"Two-One Niner","American Pilsner",218,12,218,"Laughing Dog Brewing Company",Ponderay," ID"
1398,"Pigwar White India Pale Ale","American White IPA",80,16,80,"Hopworks Urban Brewery",Portland," OR"
1399,"Heal the Bay IPA","American IPA",240,16,240,"Golden Road Brewing","Los Angeles"," CA"
1400,"Big Eye India Pale Ale","American IPA",34,12,34,"Ballast Point Brewing Company","San Diego"," CA"
1401,"Ballast Point Pale Ale",Kölsch,34,12,34,"Ballast Point Brewing Company","San Diego"," CA"
1402,"Mind's Eye PA","American IPA",11,16,11,"Petoskey Brewing",Petoskey," MI"
1403,"Horny Monk",Dubbel,11,16,11,"Petoskey Brewing",Petoskey," MI"
1404,"North 45 Amber Ale","American Amber / Red Ale",11,16,11,"Petoskey Brewing",Petoskey," MI"
1405,"Helen's Blend",Cider,416,12,416,"Jack's Hard Cider (Hauser Estate...",Biglerville," PA"
1406,"Savannah Brown Ale","American Brown Ale",415,12,415,"Coastal Empire Beer Company",Savannah," GA"
1407,"Tybee Island Blonde","American Blonde Ale",415,12,415,"Coastal Empire Beer Company",Savannah," GA"
1408,"Kölsch 151",Kölsch,414,12,414,"Blue Mountain Brewery",Arrington," VA"
1409,"Heavy Machinery IPA Series #1: Heavy Fist","American Black Ale",413,16,413,"Austin Beerworks",Austin," TX"
1410,"Sand Island Lighthouse",Kölsch,412,12,412,"Straight to Ale",Huntsville," AL"
1411,"Sawtooth Ale","American Blonde Ale",407,12,407,"Bitter Root Brewing",Hamilton," MT"
1413,"Single Hop Ale","American Pale Ale (APA)",407,12,407,"Bitter Root Brewing",Hamilton," MT"
1415,"Dry Hard Cider",Cider,411,16,411,"Seattle Cider Company",Seattle," WA"
1416,"Dry Cider",Cider,411,16,411,"Seattle Cider Company",Seattle," WA"
1417,"Weiss Trash Culture","Berliner Weissbier",410,12,410,"New England Brewing Company",Woodbridge," CT"
1418,"Larry Imperial IPA","American Double / Imperial IPA",295,12,295,"Wachusett Brewing Company",Westminster," MA"
1419,"Caldera Pale Ale","American Pale Ale (APA)",155,12,155,"Caldera Brewing Company",Ashland," OR"
1420,"Grapefruit Jungle (GFJ)","American IPA",25,16,25,"Sun King Brewing Company",Indianapolis," IN"
1421,"Live Local Golden Ale","American Blonde Ale",107,12,107,"Bonfire Brewing Company",Eagle," CO"
1422,"West Portal Colorado Common Summer Ale","California Common / Steam Beer",220,16,220,"Big Choice Brewing",Broomfield," CO"
1424,"Boise Co-Op Two Score Ale","Saison / Farmhouse Ale",309,16,309,"Sockeye Brewing Company",Boise," ID"
1425,"Barrel Aged Seven Devils Imperial Stout","American Double / Imperial Stout",309,12,309,"Sockeye Brewing Company",Boise," ID"
1426,"Back East Golden Ale","American Blonde Ale",235,12,235,"Back East Brewing Company",Bloomfield," CT"
1427,"Samuel Adams Winter Lager",Bock,300,12,300,"Boston Beer Company",Boston," MA"
1428,"Tin Roof Watermelon Wheat","Fruit / Vegetable Beer",152,12,152,"Tin Roof Brewing Company","Baton Rouge"," LA"
1429,"Pau Hana Pilsner","Czech Pilsener",375,12,375,"Maui Brewing Company",Lahaina," HI"
1430,"Helios Hefeweizen (2013)",Hefeweizen,148,12,148,"Odyssey Beerwerks",Arvada," CO"
1431,"Ghost Rider Pale Ale (2013)","American Pale Ale (APA)",148,12,148,"Odyssey Beerwerks",Arvada," CO"
1432,"Yard Sale Amber Ale","American Amber / Red Ale",409,16,409,"Tamarack Brewing Company",Lakeside," MT"
1433,"Hat Trick Hop IPA","American IPA",409,16,409,"Tamarack Brewing Company",Lakeside," MT"
1434,"Wood Chipper India Pale Ale","American IPA",335,12,335,"Fargo Brewing Company",Fargo," ND"
1435,"Stone's Throw IPA","Scottish Ale",335,12,335,"Fargo Brewing Company",Fargo," ND"
1436,"Pub Beer","American Pale Lager",408,12,408,"10 Barrel Brewing Company",Bend," OR"
1437,"Atom Splitter Pale Ale","American Pale Ale (APA)",310,12,310,"Pine Street Brewery","San Francisco"," CA"
1438,"Presidential Pils","Czech Pilsener",190,12,190,"Two Beers Brewing Company",Seattle," WA"
1439,"Boat Beer","American IPA",222,12,222,"Carton Brewing Company","Atlantic Highlands"," NJ"
1440,"Hale's Pale American Ale","American Pale Ale (APA)",290,12,290,"Hale's Ales",Seattle," WA"
1441,"Blown Out Brown","American Brown Ale",407,12,407,"Bitter Root Brewing",Hamilton," MT"
1442,"F5 IPA","American IPA",182,16,182,"COOP Ale Works","Oklahoma City"," OK"
1443,"Trebuchet Double IPA","American Double / Imperial IPA",10,16,10,"Brewery Vivant","Grand Rapids"," MI"
1444,"Dale's Pale Ale","American Pale Ale (APA)",166,12,166,"Oskar Blues Brewery",Longmont," CO"
1445,"Lazy Monk Bohemian Pilsner","Czech Pilsener",406,16,406,"Lazy Monk Brewing","Eau Claire"," WI"
1446,"Great River Golden Ale","American Blonde Ale",365,12,365,"Great River Brewery",Davenport," IA"
1447,"Hopnoxious Imperial IPA","American Double / Imperial IPA",309,12,309,"Sockeye Brewing Company",Boise," ID"
1448,"Guest Lager","American Double / Imperial Pilsner",327,16,327,"Half Acre Beer Company",Chicago," IL"
1449,"Overlord Imperial IPA","American Double / Imperial IPA",17,16,17,"Tin Man Brewing Company",Evansville," IN"
1450,"St. Benedict's Winter Ale","Winter Warmer",131,12,131,"Stevens Point Brewery","Stevens Point"," WI"
1451,"Moirai India Pale Ale","American IPA",405,16,405,"Fate Brewing Company",Boulder," CO"
1452,"Laimas Kölsch Style Ale",Kölsch,405,16,405,"Fate Brewing Company",Boulder," CO"
1453,"Norns Roggenbier",Roggenbier,405,16,405,"Fate Brewing Company",Boulder," CO"
1454,"Parcae Belgian Style Pale Ale","Belgian Pale Ale",405,16,405,"Fate Brewing Company",Boulder," CO"
1455,"Sudice American Stout","American Stout",405,16,405,"Fate Brewing Company",Boulder," CO"
1456,"Powder Hound Winter Ale","English Strong Ale",336,12,336,"Big Sky Brewing Company",Missoula," MT"
1457,"Chronic Ale","American Amber / Red Ale",370,16,370,"Pizza Port Brewing Company",Carlsbad," CA"
1458,Karbachtoberfest,"Märzen / Oktoberfest",125,12,125,"Karbach Brewing Company",Houston," TX"
1459,"Shipwrecked Double IPA","American Double / Imperial IPA",98,32,98,"Mission Brewery","San Diego"," CA"
1460,"El Conquistador Extra Pale Ale","American Pale Ale (APA)",98,32,98,"Mission Brewery","San Diego"," CA"
1461,"Peacemaker Pilsner","Czech Pilsener",135,12,135,"Pug Ryan's Brewery",Dillon," CO"
1462,"Dead Eye Dunkel","Munich Dunkel Lager",135,12,135,"Pug Ryan's Brewery",Dillon," CO"
1463,"Hideout Helles","Munich Helles Lager",135,12,135,"Pug Ryan's Brewery",Dillon," CO"
1464,"Dry Hard Apple Cider",Cider,404,16,404,"Cascadia Ciderworks United",Portland," OR"
1465,"Granny Smith Hard Apple Cider",Cider,404,16,404,"Cascadia Ciderworks United",Portland," OR"
1466,"Ginger Cider",Cider,394,12,394,"Schilling & Company",Seattle," WA"
1467,"Happy Cider",Cider,403,16,403,"Red Tank Cider Company",Bend," OR"
1468,"Wolverine Premium Lager","American Pale Lager",402,12,402,"Wolverine State Brewing Company","Ann Arbor"," MI"
1469,"Tiny Bomb","American Pilsner",239,12,239,"Wiseacre Brewing Company",Memphis," TN"
1470,"Ananda India Pale Ale","American IPA",239,12,239,"Wiseacre Brewing Company",Memphis," TN"
1473,Damnesia,"American IPA",401,16,401,"Amnesia Brewing Company",Washougal," WA"
1474,"Dusty Trail Pale Ale","American Pale Ale (APA)",401,16,401,"Amnesia Brewing Company",Washougal," WA"
1475,"Macon Progress Ale","American Pale Ale (APA)",400,12,400,"Macon Beer Company",Macon," GA"
1476,"Squeaky Bike Nut Brown Ale","American Brown Ale",399,16,399,"Moab Brewery",Moab," UT"
1477,"Oval Beach Blonde Ale","American Blonde Ale",398,16,398,"Saugatuck Brewing Company",Douglas," MI"
1478,"CAPT Black IPA","American Black Ale",397,12,397,"Ruhstaller Beer Company",Sacramento," CA"
1479,"1881 California Red","American Amber / Red Ale",397,12,397,"Ruhstaller Beer Company",Sacramento," CA"
1480,"Grand Rabbits","Cream Ale",12,12,12,"Blackrocks Brewery",Marquette," MI"
1481,"51K IPA","American IPA",12,12,12,"Blackrocks Brewery",Marquette," MI"
1482,Socktoberfest,"Märzen / Oktoberfest",309,16,309,"Sockeye Brewing Company",Boise," ID"
1483,"Back East Porter","American Porter",235,12,235,"Back East Brewing Company",Bloomfield," CT"
1484,"Summer Paradise","American Pale Wheat Ale",356,12,356,"Manayunk Brewing Company",Philadelphia," PA"
1485,"Plowshare Porter","American Porter",301,16,301,"Old Forge Brewing Company",Danville," PA"
1486,"Resolution Rye Stout","American Stout",301,16,301,"Old Forge Brewing Company",Danville," PA"
1487,"Falling Down Brown Ale","American Brown Ale",301,16,301,"Old Forge Brewing Company",Danville," PA"
1488,Pilzilla,"American Double / Imperial Pilsner",322,12,322,"Voodoo Brewery",Meadville," PA"
1489,"Golden Road Hefeweizen",Hefeweizen,240,16,240,"Golden Road Brewing","Los Angeles"," CA"
1490,"Point the Way IPA","American IPA",240,16,240,"Golden Road Brewing","Los Angeles"," CA"
1491,"Sweet Potato Ale","Fruit / Vegetable Beer",314,16,314,"Piney River Brewing Company",Bucryus," MO"
1492,"Blazing World","American Amber / Red Ale",209,16,209,"Modern Times Beer","San Diego"," CA"
1493,"Black House","American Stout",209,16,209,"Modern Times Beer","San Diego"," CA"
1494,"Fortunate Islands","American Pale Wheat Ale",209,16,209,"Modern Times Beer","San Diego"," CA"
1495,Lomaland,"Saison / Farmhouse Ale",209,16,209,"Modern Times Beer","San Diego"," CA"
1496,"Coconut Brown Ale","American Brown Ale",12,12,12,"Blackrocks Brewery",Marquette," MI"
1497,"Valkyrie Double IPA","American Double / Imperial IPA",118,12,118,"Southern Star Brewing Company",Conroe," TX"
1498,"Super G IPA","American IPA",396,16,396,"White Flame Brewing Company",Hudsonville," MI"
1501,"Green House India Pale Ale","American IPA",395,12,395,"Hops & Grain Brewery",Austin," TX"
1502,BrightCider,Cider,154,12,154,"2 Towns Ciderhouse",Corvallis," OR"
1503,"Oak Aged Cider",Cider,394,12,394,"Schilling & Company",Seattle," WA"
1504,"Country Boy IPA","American IPA",170,12,170,"Everybody's Brewing","White Salmon"," WA"
1505,"Flying Jenny Extra Pale Ale","American Pale Ale (APA)",379,12,379,"Grey Sail Brewing of Rhode Island",Westerly," RI"
1506,"Miami Vice IPA","American IPA",393,12,393,"Miami Brewing Company",Miami," FL"
1507,"Gator Tail Brown Ale","American Brown Ale",393,12,393,"Miami Brewing Company",Miami," FL"
1508,"Shark Bait","Fruit / Vegetable Beer",393,12,393,"Miami Brewing Company",Miami," FL"
1509,"Perpetual IPA","American IPA",97,12,97,"Tröegs Brewing Company",Hershey," PA"
1510,"Troegenator Doublebock",Doppelbock,97,16,97,"Tröegs Brewing Company",Hershey," PA"
1511,"Worthy Pale","American Pale Ale (APA)",199,12,199,"Worthy Brewing Company",Bend," OR"
1512,"Worthy IPA (2013)","American IPA",199,12,199,"Worthy Brewing Company",Bend," OR"
1513,"Lights Out Vanilla Cream Extra Stout","American Double / Imperial IPA",199,12,199,"Worthy Brewing Company",Bend," OR"
1514,"Easy Day Kolsch",Kölsch,199,12,199,"Worthy Brewing Company",Bend," OR"
1515,"3-Way IPA (2013)","American IPA",206,16,206,"Fort George Brewery",Astoria," OR"
1516,"Ace Hole American Pale Ale","American Pale Ale (APA)",317,16,317,"Marshall Wharf Brewing Company",Belfast," ME"
1517,"Pink-I Raspberry IPA","American IPA",107,16,107,"Bonfire Brewing Company",Eagle," CO"
1518,"Devils Head Red Ale","American Amber / Red Ale",355,16,355,"Pikes Peak Brewing Company",Monument," CO"
1519,"Saison 88","Saison / Farmhouse Ale",392,12,392,"Santa Fe Brewing Company","Santa Fe"," NM"
1520,"Barney Flats Oatmeal Stout","Oatmeal Stout",171,12,171,"Anderson Valley Brewing Company",Boonville," CA"
1521,"Modus Hoperandi","American IPA",264,12,264,"Ska Brewing Company",Durango," CO"
1522,"Agave Wheat","American Pale Wheat Ale",391,12,391,"Breckenridge Brewery",Denver," CO"
1523,"Casper White Stout","American Blonde Ale",32,12,32,"James Page Brewing Company","Stevens Point"," WI"
