id,name,style,brewery_id,ounces,brewery_id,brewery_name,city,state
182,"Stowaway IPA","American IPA",292,12,292,"Baxter Brewing Company",Lewiston," ME"
183,"Pamola Xtra Pale Ale","American Pale Ale (APA)",292,12,292,"Baxter Brewing Company",Lewiston," ME"
184,"The Public","American Pale Ale (APA)",227,12,227,"DC Brau Brewing Company",Washington," DC"
185,"The Citizen","Belgian Pale Ale",227,12,227,"DC Brau Brewing Company",Washington," DC"
186,"The Corruption","American IPA",227,12,227,"DC Brau Brewing Company",Washington," DC"
188,"Pallavicini Pilsner (2009)","Czech Pilsener",135,12,135,"Pug Ryan's Brewery",Dillon," CO"
189,"Roller Dam Red Ale (2010)","Irish Red Ale",365,16,365,"Great River Brewery",Davenport," IA"
190,"483 Pale Ale (2010)","American Pale Ale (APA)",365,16,365,"Great River Brewery",Davenport," IA"
192,"Harpoon Summer Beer (2010)",Kölsch,234,12,234,"Harpoon Brewery",Boston," MA"
193,"Lucky U IPA","American IPA",391,12,391,"Breckenridge Brewery",Denver," CO"
195,"Lancaster German Style Kölsch",Kölsch,545,12,545,"Lancaster Brewing Company",Lancaster," PA"
212,"Bear Ass Brown","American Brown Ale",551,12,551,"Silverton Brewery",Silverton," CO"
213,"Wee Mac Scottish-Style Ale","Scottish Ale",25,16,25,"Sun King Brewing Company",Indianapolis," IN"
217,"Happy Camper IPA","American IPA",392,12,392,"Santa Fe Brewing Company","Santa Fe"," NM"
219,"Miner's Gold","American Blonde Ale",386,12,386,"Revolution Brewing",Paonia," CO"
220,"Colorado Red Ale","American Amber / Red Ale",386,12,386,"Revolution Brewing",Paonia," CO"
271,"11th Hour IPA","American IPA",212,12,212,"Crow Peak Brewing Company",Spearfish," SD"
272,"Pile O'Dirt Porter","American Porter",212,12,212,"Crow Peak Brewing Company",Spearfish," SD"
273,"AXL Pale Ale","American Pale Ale (APA)",440,16,440,"MillKing It Productions","Royal Oak"," MI"
285,"Devil’s Ale (2010)","American Pale Ale (APA)",30,12,30,"SanTan Brewing Company",Chandler," AZ"
286,"SanTan HefeWeizen (2010)",Hefeweizen,30,12,30,"SanTan Brewing Company",Chandler," AZ"
304,"Freestyle Pilsner","German Pilsener",392,12,392,"Santa Fe Brewing Company","Santa Fe"," NM"
305,"Imperial Java Stout","Russian Imperial Stout",392,12,392,"Santa Fe Brewing Company","Santa Fe"," NM"
307,"Santa Fe Oktoberfest","Märzen / Oktoberfest",392,12,392,"Santa Fe Brewing Company","Santa Fe"," NM"
308,"Good People American Brown Ale","American Brown Ale",478,12,478,"Good People Brewing Company",Birmingham," AL"
309,"Good People IPA","American IPA",478,12,478,"Good People Brewing Company",Birmingham," AL"
311,"Coffee Oatmeal Stout","Oatmeal Stout",478,12,478,"Good People Brewing Company",Birmingham," AL"
312,"Snake Handler Double IPA","American Double / Imperial IPA",478,12,478,"Good People Brewing Company",Birmingham," AL"
313,"Mana Wheat","American Pale Wheat Ale",375,12,375,"Maui Brewing Company",Lahaina," HI"
314,"Narragansett Fest Lager","Märzen / Oktoberfest",143,16,143,"Narragansett Brewing Company",Providence," RI"
315,"Narragansett Bock",Bock,143,16,143,"Narragansett Brewing Company",Providence," RI"
316,"Narragansett Porter","American Porter",143,16,143,"Narragansett Brewing Company",Providence," RI"
317,"Hop Shock IPA (2010)","American IPA",30,12,30,"SanTan Brewing Company",Chandler," AZ"
318,"Vortex IPA","American IPA",206,16,206,"Fort George Brewery",Astoria," OR"
319,"1811 Lager","American Amber / Red Lager",206,16,206,"Fort George Brewery",Astoria," OR"
320,"Gandhi-Bot Double IPA (12 oz.)","American Double / Imperial IPA",410,12,410,"New England Brewing Company",Woodbridge," CT"
321,"Fireside Chat (2010)","Winter Warmer",368,12,368,"21st Amendment Brewery","San Francisco"," CA"
323,"Wind River Blonde Ale","American Blonde Ale",550,16,550,"Wind River Brewing Company",Pinedale," WY"
324,"Wyoming Pale Ale","American Pale Ale (APA)",550,16,550,"Wind River Brewing Company",Pinedale," WY"
326,"Up River Light","Light Lager",507,12,507,"Mudshark Brewing Company","Lake Havasu City"," AZ"
327,"Wapiti Amber Ale","American Amber / Red Ale",549,12,549,"Mogollon Brewing Company",Flagstaff," AZ"
328,"Brooklyn Summer Ale (2011)","English Pale Mild Ale",437,12,437,"Brooklyn Brewery",Brooklyn," NY"
329,WET,"American IPA",61,16,61,"Surly Brewing Company","Brooklyn Center"," MN"
334,"Wild Onion Pumpkin Ale (2010)","Pumpkin Ale",361,12,361,"Wild Onion Brewing Company","Lake Barrington"," IL"
335,"Ponderosa IPA","American IPA",548,12,548,"Prescott Brewing Company",Prescott," AZ"
336,"Iron Mike Pale Ale","American Pale Ale (APA)",547,24,547,"Moat Mountain Smoke House & Brew...","North Conway"," NH"
337,"Boneshaker Brown Ale","English Brown Ale",547,24,547,"Moat Mountain Smoke House & Brew...","North Conway"," NH"
339,"Copper Hook (2011)","American Amber / Red Ale",487,12,487,"Redhook Brewery",Woodinville," WA"
